name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Chung H.,0,0,0,0,0,0,0,0,0,0,0
Chvojka E.,94,176,197,69,8,0,0,0,0,0,0
Cilic M.,2300,1665,2210,1130,4150,2405,3650,3805,4250,1165,1325
Ciorcila P.,0,0,9,54,18,0,0,0,0,0,0
Cipolla F.,232,669,568,269,138,147,34,0,37,0,0
Clarke J.,0,0,0,0,0,0,0,0,0,0,0
Clement A.,627,342,153,0,0,0,0,0,0,0,0
Clezar G.,18,159,202,332,193,290,239,249,213,119,203
Cobolli F.,0,0,0,0,0,0,0,0,0,12,16
Collarini A.,40,67,148,179,144,83,127,212,136,260,310
Copil M.,155,225,347,369,299,318,457,601,823,344,277
Coppejans K.,0,1,22,180,283,452,322,192,244,328,361
Coria F.,6,18,56,97,128,112,210,161,161,464,775
Coric B.,0,0,3,147,557,941,945,1001,2480,1415,1855
Corrie E.,2,21,60,149,204,89,189,123,3,0,0
Couacaud E.,0,0,3,72,203,98,102,63,143,261,287
Cox D.,132,97,56,186,164,121,50,0,0,0,0
Cressy M.,0,0,0,0,0,0,1,0,82,258,384
Crivoi V.,304,199,173,205,149,56,8,0,0,1,1
Crugnola M.,202,177,64,39,1,0,0,0,0,0,0
Cuevas P.,790,370,0,215,1222,1065,1780,1370,630,1097,917
Dabul B.,594,269,0,0,0,0,0,0,0,0,0
Dancevic F.,172,346,324,460,362,239,216,118,89,0,0
Daniel M.,0,0,0,0,0,0,0,0,0,0,0
Daniel T.,7,75,165,196,293,603,476,579,691,501,581
Darcis S.,521,622,571,316,317,638,658,667,0,332,196
Dasnieres de Veigy J.,149,212,364,80,0,0,0,0,0,0,0
Davidovich Fokina A.,0,0,0,0,0,3,18,71,233,627,1066
Davydenko N.,1655,980,885,890,195,0,0,0,0,0,0
Davydenko P.,1,5,14,4,104,26,4,4,26,0,0
De Bakker T.,975,216,457,384,375,587,201,114,231,55,31
De Greef A.,0,0,0,0,0,0,0,0,0,0,0
De Heart R.,0,0,0,0,0,0,0,0,0,0,0
De Loore J.,0,0,0,0,0,0,0,0,0,0,0
De Minaur A.,0,0,0,0,0,0,0,0,0,0,0
De Paula F.,0,0,0,0,0,0,0,0,0,0,0
De Schepper K.,69,382,487,617,540,396,369,347,258,28,33
De Voest R.,0,0,0,0,0,0,0,0,0,0,0
Decoud S.,222,153,74,0,0,0,0,0,0,0,0
Deen Heshaam A.,0,1,0,0,0,0,0,0,0,0,0
Deheart R.,202,7,0,1,0,0,0,0,1,0,0
Del Bonis F.,0,0,0,0,0,0,0,0,0,0,0
Del Potro J. M.,0,0,0,0,0,0,0,0,0,0,0
Del Potro J.M.,0,0,0,0,0,0,0,0,0,0,0
Delbonis F.,335,306,414,836,775,815,1040,755,678,732,825
Delgado R.,276,0,0,0,0,0,0,0,0,0,0
Delic A.,70,231,93,0,0,0,0,0,0,0,0
Delic M.,0,2,58,98,336,97,62,87,50,0,0
Dellien H.,3,5,31,128,188,81,28,217,504,743,638
Demoliner M.,84,102,184,68,14,32,5,0,0,0,0
Dent T.,480,0,0,0,0,0,0,0,0,0,0
Desein N.,149,38,202,254,241,195,75,72,30,2,0
Devilder N.,92,117,236,0,0,0,0,0,0,0,0
Devvarman S.,526,631,32,599,381,284,15,0,0,0,0
Di Mauro A.,334,240,92,205,26,0,0,0,0,0,0
