player_id,name,hand,date_of_birth,country,height
126156,Hoang A.,R,19951104,FRA,177
104550,Hocevar R.,R,19850505,BRA,180
200416,Holmgren A.,R,19980422,DEN,177
106110,Horansky F.,R,19930107,SVK,177
111444,Hossam K.,R,19940408,EGY,177
103103,Hrbaty D.,R,19780104,SVK,183
144817,Huesler M.A.,L,19960624,SUI,177
200005,Humbert U.,L,19980626,FRA,188
128034,Hurkacz H.,R,19970211,POL,196
104619,Huta Galung J.,R,19851006,NED,188
104839,Idmbarek Y.,U,19861207,MAR,177
104947,Ilhan M.,R,19870611,TUR,190
117356,Ilkel C.,R,19950821,TUR,185
103682,Im K.T.,R,19810106,KOR,185
104693,Inglot D.,R,19860306,GBR,196
104545,Isner J.,R,19850426,USA,206
104797,Istomin D.,R,19860907,UZB,188
105147,Ito T.,R,19880518,JPN,180
125802,Ivashka I.,R,19940224,BLR,193
105668,Janowicz J.,R,19901113,POL,203
126125,Janvier M.,R,19961018,FRA,177
111797,Jarry N.,R,19951011,CHI,198
117357,Jasika O.,L,19970518,AUS,177
104291,Jaziri M.,R,19840120,TUN,185
104948,Jelenic P.,R,19870613,CRO,177
106158,Jeong S.Y.,R,19930412,KOR,177
104026,Johansson J.,R,19820701,SWE,198
105449,Johnson S.,R,19891224,USA,188
104711,Jones G.,R,19860401,NZL,183
104579,Jouan R.,R,19850716,FRA,183
206703,Jubb P.,R,19991031,GBR,177
103782,Junaid R.,R,19810525,AUS,177
105359,Jung J.,R,19890615,TPE,177
103675,Junqueira D.,L,19801228,ARG,178
208230,Kachmazov A.,R,20020817,RUS,177
111459,Kadhe A.,R,19940107,IND,177
104735,Kamke T.,R,19860521,GER,180
106234,Karatsev A.,R,19930904,RUS,185
103333,Karlovic I.,R,19790228,CRO,208
106348,Karlovskiy E.,R,19940807,RUS,177
104882,Kavcic B.,R,19870305,SLO,188
200175,Kecmanovic M.,R,19990831,SRB,183
103470,Kendrick R.,R,19791115,USA,190
106246,Kern R.,R,19931003,GER,177
111575,Khachanov K.,R,19960521,RUS,198
105830,Khaddari H.,R,19910819,MAR,177
106044,Kicker N.,R,19920816,ARG,177
103017,Kiefer N.,R,19770705,GER,183
103240,Kim K.,R,19780726,USA,180
104010,Kindlmann D.,R,19820603,GER,183
104368,King D.,R,19840515,NZL,190
105960,King E.,L,19920325,USA,185
110536,King K.,U,19910228,USA,177
104368,King-Turner D.,R,19840515,NZL,190
104975,Kirillov E.,R,19870714,RUS,177
144985,Kirkin E.,R,19990127,TUR,177
104071,Klaasen R.,R,19821016,RSA,180
105614,Klahn B.,L,19900820,USA,190
103657,Klec I.,R,19801128,SVK,183
105454,Klein B.,R,19891231,AUS,183
127760,Klein L.,R,19980322,SVK,177
105373,Klizan M.,L,19890711,SVK,190
104226,Knittel B.,L,19830808,GER,177
102382,Knowle J.,L,19740429,AUT,188
104230,Koellerer D.,R,19830817,AUT,180
136440,Koepfer D.,L,19940429,GER,180
104259,Kohlschreiber P.,R,19831016,GER,178
106423,Kokkinakis T.,R,19960410,AUS,196
144645,Kolar Z.,R,19961009,CZE,177
105573,Kontinen H.,R,19900619,FIN,191
200240,Kopriva V.,U,19970615,CZE,177
