Winner,Loser,Odds
Khachanov K.,Nishioka Y.,1.22:4.36
Fabbiano T.,Opelka R.,3.25:1.35
Bautista Agut R.,Millman J.,1.32:3.46
Dimitrov G.,Cuevas P.,1.13:6.03
De Minaur A.,Laaksonen H.,1.05:10.7
Nadal R.,Ebden M.,1.06:9.92
Nishikori K.,Karlovic I.,1.16:5.25
Raonic M.,Wawrinka S.,1.29:3.64
Sousa J.,Kohlschreiber P.,2.95:1.41
Carreno Busta P.,Ivashka I.,1.63:2.3
Coric B.,Fucsovics M.,1.29:3.69
Fognini F.,Mayer L.,1.6:2.37
Herbert P.H.,Chung H.,2.28:1.65
Krajinovic F.,Donskoy E.,1.39:3.05
Goffin D.,Copil M.,1.22:4.46
Bolt A.,Simon G.,5.94:1.14
Pouille L.,Marterer M.,1.73:2.14
Shapovalov D.,Daniel T.,1.15:5.59
Popyrin A.,Thiem D.,5.04:1.18
Medvedev D.,Harrison R.,1.2:4.66
Zverev A.,Chardy J.,1.12:6.58
Djokovic N.,Tsonga J.W.,1.06:9.59
Tsitsipas S.,Basilashvili N.,1.35:3.27
Berdych T.,Schwartzman D.,1.26:4.04
Federer R.,Fritz T.,1.05:10.47
Tiafoe F.,Seppi A.,2.03:1.81
Dimitrov G.,Fabbiano T.,1.07:9.13
Bautista Agut R.,Khachanov K.,2.6:1.51
Nadal R.,De Minaur A.,1.1:7.13
Cilic M.,Verdasco F.,1.3:3.63
Medvedev D.,Goffin D.,1.59:2.39
Nishikori K.,Sousa J.,1.15:5.67
Carreno Busta P.,Fognini F.,2.08:1.77
Raonic M.,Herbert P.H.,1.17:5.28
Djokovic N.,Shapovalov D.,1.04:11.58
Coric B.,Krajinovic F.,1.16:5.44
Zverev A.,Bolt A.,1.05:10.63
Pouille L.,Popyrin A.,1.49:2.67
Tiafoe F.,Dimitrov G.,3.02:1.4
Nadal R.,Berdych T.,1.16:5.3
Bautista Agut R.,Cilic M.,2.15:1.72
Tsitsipas S.,Federer R.,5.42:1.16
Raonic M.,Zverev A.,2.13:1.74
Pouille L.,Coric B.,3.83:1.27
Nishikori K.,Carreno Busta P.,1.21:4.62
Djokovic N.,Medvedev D.,1.13:6.4
Tsitsipas S.,Bautista Agut R.,1.98:1.86
Nadal R.,Tiafoe F.,1.05:11.47
Pouille L.,Raonic M.,5.54:1.16
Djokovic N.,Nishikori K.,1.1:7.62
Nadal R.,Tsitsipas S.,1.18:5.19
Djokovic N.,Pouille L.,1.06:10.45
Djokovic N.,Nadal R.,1.75:2.15
Sonego L.,Andujar P.,2.13:1.7
