Winner,Loser,Odds
Tsitsipas S.,Bublik A.,1.21:4.31
Auger-Aliassime F.,Simon G.,1.58:2.36
Tsitsipas S.,Auger-Aliassime F.,1.41:2.88
Delbonis F.,Carballes Baena R.,1.61:2.28
Garin C.,Martin A.,1.27:3.66
Andujar P.,Verdasco F.,2.21:1.65
Martinez P.,Dellien H.,1.74:2.05
Seyboth Wild T.,Davidovich Fokina A.,2.31:1.6
Coria F.,Moutet C.,2.22:1.64
Alcaraz C.,Ramos-Vinolas A.,4.17:1.22
Balazs A.,Cuevas P.,3.7:1.27
Lajovic D.,Cecchinato M.,1.63:2.25
Coric B.,Londero J.I.,2.04:1.76
Munar J.,Caruso S.,1.56:2.39
Sonego L.,Mayer L.,1.87:1.91
Domingues J.,Gaio F.,1.79:1.94
Mager G.,Ruud C.,4.08:1.23
Thiem D.,Meligeni Rodrigues F,1.01:19.41
Monteiro T.,Pella G.,2.04:1.76
Garin C.,Delbonis F.,1.52:2.5
Martinez P.,Andujar P.,2.37:1.57
Balazs A.,Monteiro T.,2.62:1.48
Coria F.,Alcaraz C.,1.82:1.96
Mager G.,Domingues J.,1.44:2.75
Sonego L.,Lajovic D.,2.68:1.46
Coric B.,Seyboth Wild T.,1.34:3.23
Thiem D.,Munar J.,1.17:4.99
Garin C.,Coria F.,1.18:4.89
Coric B.,Sonego L.,1.67:2.18
Balazs A.,Martinez P.,2.27:1.63
Mager G.,Thiem D.,6.51:1.11
Garin C.,Coric B.,1.64:2.25
Mager G.,Balazs A.,1.39:2.94
Garin C.,Mager G.,1.26:3.82
Mannarino A.,Norrie C.,1.84:1.95
Paul T.,Mcdonald M.,1.42:2.84
Kecmanovic M.,De Minaur A.,1.97:1.82
Wawrinka S.,Tiafoe F.,1.4:2.91
Giron M.,Lopez Villasenor G.,1.11:6.52
Edmund K.,Lopez F.,1.31:3.44
Martinez P.,Albot R.,2.13:1.71
Kwon S.W.,Daniel T.,1.5:2.58
Dimitrov G.,Dzumhur D.,1.32:3.37
Auger-Aliassime F.,Bolt A.,1.4:2.91
Lajovic D.,Johnson S.,2.08:1.74
Zverev A.,Jung J.,1.15:5.3
Nadal R.,Andujar P.,1.03:13.64
Fritz T.,Millman J.,1.86:1.93
Isner J.,Zverev M.,1.35:3.17
Humbert U.,Kyrgios N.,2.66:1.47
Edmund K.,Auger-Aliassime F.,1.67:2.19
Kwon S.W.,Lajovic D.,1.89:1.9
Isner J.,Giron M.,1.27:3.67
Paul T.,Zverev A.,4.14:1.23
Dimitrov G.,Mannarino A.,1.35:3.15
Fritz T.,Humbert U.,2.11:1.71
Wawrinka S.,Martinez P.,1.14:5.68
Nadal R.,Kecmanovic M.,1.07:8.34
Isner J.,Paul T.,1.73:2.1
Fritz T.,Edmund K.,2.3:1.61
Dimitrov G.,Wawrinka S.,2.46:1.54
Nadal R.,Kwon S.W.,1.04:10.94
Fritz T.,Isner J.,1.83:1.97
Nadal R.,Dimitrov G.,1.12:6.29
Nadal R.,Fritz T.,1.06:9.01
Khachanov K.,Kukushkin M.,1.36:3.08
Kohlschreiber P.,Safwat M.,1.26:3.74
Rublev A.,Musetti L.,1.1:6.88
Gasquet R.,Harris L.,1.79:2.01
Djokovic N.,Jaziri M.,1.01:21.87
Monfils G.,Fucsovics M.,1.34:3.18
Paire B.,Cilic M.,2.6:1.49
Novak D.,Gunneswaran P.,1.4:2.92
Uchiyama Y.,Lu Y.H.,1.18:4.76
Krajinovic F.,Sousa J.,1.21:4.34
Bublik A.,Hurkacz H.,2.52:1.51
Evans D.,Fognini F.,1.64:2.22
Herbert P.H.,Nishioka Y.,1.49:2.6
Basilashvili N.,Berankis R.,1.63:2.26
Tsitsipas S.,Carreno Busta P.,1.32:3.3
Struff J.L.,Bautista Agut R.,3.7:1.27
Evans D.,Herbert P.H.,1.56:2.4
Rublev A.,Krajinovic F.,1.39:2.93
Tsitsipas S.,Bublik A.,1.18:4.78
Khachanov K.,Novak D.,1.27:3.68
Struff J.L.,Basilashvili N.,1.42:2.81
Djokovic N.,Kohlschreiber P.,1.02:15.07
Gasquet R.,Paire B.,1.86:1.92
Monfils G.,Uchiyama Y.,1.1:6.99
Evans D.,Rublev A.,3.98:1.24
Tsitsipas S.,Struff J.L.,1.4:2.92
Djokovic N.,Khachanov K.,1.07:8.69
Monfils G.,Gasquet R.,1.21:4.31
Tsitsipas S.,Evans D.,1.23:4.15
Djokovic N.,Monfils G.,1.1:6.76
Djokovic N.,Tsitsipas S.,1.33:3.3
Dellien H.,Cecchinato M.,2.46:1.53
Seyboth Wild T.,Bagnis F.,2.04:1.76
Carballes Baena R.,Munar J.,2.46:1.53
Barrios Vera M.T.,Taberner C.,3.12:1.35
Davidovich Fokina A.,Martin A.,1.95:1.82
Monteiro T.,Mayer L.,1.63:2.23
Olivo R.,Sousa P.,2.21:1.65
Delbonis F.,Klizan M.,1.58:2.33
Caruso S.,Kovalik J.,2.15:1.68
Varillas J.P.,Horansky F.,1.9:1.88
Londero J.I.,Coria F.,1.42:2.78
Tabilo A.,Lorenzi P.,1.68:2.15
Olivo R.,Cuevas P.,4.44:1.2
Delbonis F.,Caruso S.,1.5:2.54
Dellien H.,Barrios Vera M.T.,1.38:3.0
Ruud C.,Tabilo A.,1.19:4.56
Monteiro T.,Carballes Baena R.,1.56:2.4
Seyboth Wild T.,Londero J.I.,2.84:1.41
Ramos-Vinolas A.,Varillas J.P.,1.36:3.08
Garin C.,Davidovich Fokina A.,1.3:3.45
Ruud C.,Delbonis F.,1.49:2.61
Ramos-Vinolas A.,Monteiro T.,2.0:1.8
Olivo R.,Dellien H.,2.85:1.42
Seyboth Wild T.,Garin C.,2.65:1.47
Ruud C.,Ramos-Vinolas A.,1.57:2.39
Seyboth Wild T.,Olivo R.,1.29:3.55
Seyboth Wild T.,Ruud C.,3.36:1.32
Auger-Aliassime F.,Basilashvili N.,1.25:3.98
Carreno Busta P.,Lajovic D.,1.37:3.06
Struff J.L.,De Minaur A.,2.61:1.49
Anderson K.,Edmund K.,2.64:1.48
Opelka R.,Norrie C.,1.59:2.36
Coric B.,Paire B.,1.58:2.36
Fritz T.,Harris L.,1.45:2.75
Krajinovic F.,Caruso S.,1.35:3.18
Murray A.,Tiafoe F.,1.61:2.31
Berankis R.,Paul T.,2.13:1.71
Raonic M.,Querrey S.,1.67:2.19
Shapovalov D.,Cilic M.,1.63:2.28
Khachanov K.,Bublik A.,1.43:2.8
Sandgren T.,Sonego L.,1.52:2.54
Schwartzman D.,Ruud C.,1.48:2.65
Giron M.,Mcdonald M.,1.96:1.83
Bedene A.,Garin C.,1.56:2.42
Fucsovics M.,Gombos N.,1.3:3.54
Evans D.,Rublev A.,2.67:1.47
Dimitrov G.,Humbert U.,1.92:1.89
Isner J.,Hurkacz H.,1.62:2.29
Millman J.,Mannarino A.,1.81:1.99
Gasquet R.,Wolf J.J.,1.54:2.47
Ruusuvuori E.,Korda S.,1.41:2.92
Tsitsipas S.,Anderson K.,1.25:3.95
Goffin D.,Coric B.,1.51:2.55
Bedene A.,Fritz T.,3.19:1.35
Medvedev D.,Giron M.,1.15:5.34
Raonic M.,Evans D.,1.58:2.38
Sandgren T.,Auger-Aliassime F.,2.94:1.4
Khachanov K.,Carreno Busta P.,1.71:2.13
Isner J.,Millman J.,1.44:2.78
Opelka R.,Schwartzman D.,2.0:1.8
Struff J.L.,Shapovalov D.,2.39:1.58
Bautista Agut R.,Gasquet R.,1.53:2.51
Murray A.,Zverev A.,2.78:1.44
Berrettini M.,Ruusuvuori E.,1.27:3.69
Fucsovics M.,Dimitrov G.,1.94:1.86
Krajinovic F.,Thiem D.,5.16:1.16
Djokovic N.,Berankis R.,1.06:9.41
Medvedev D.,Bedene A.,1.21:4.38
Struff J.L.,Goffin D.,2.3:1.62
Bautista Agut R.,Khachanov K.,1.59:2.36
Djokovic N.,Sandgren T.,1.16:5.3
Opelka R.,Berrettini M.,2.36:1.59
Raonic M.,Murray A.,1.57:2.4
Tsitsipas S.,Isner J.,1.33:3.33
Krajinovic F.,Fucsovics M.,1.57:2.4
Bautista Agut R.,Medvedev D.,2.93:1.4
Djokovic N.,Struff J.L.,1.16:5.36
Tsitsipas S.,Opelka R.,1.41:2.91
Raonic M.,Krajinovic F.,1.49:2.64
Raonic M.,Tsitsipas S.,2.36:1.59
Djokovic N.,Bautista Agut R.,1.16:5.28
Djokovic N.,Raonic M.,1.33:3.3
Hurkacz H.,Sousa J.,1.52:2.49
Ofner S.,Albot R.,1.46:2.69
Kecmanovic M.,Nishikori K.,2.17:1.68
Pella G.,Nishioka Y.,1.53:2.46
Hanfmann Y.,Bublik A.,1.28:3.62
Huesler M.A.,Ruusuvuori E.,2.39:1.56
Sinner J.,Kohlschreiber P.,1.84:1.94
Delbonis F.,Londero J.I.,2.15:1.68
Thompson J.,Millman J.,2.99:1.38
Marterer M.,Novak D.,1.79:2.01
Djere L.,Ramos-Vinolas A.,1.64:2.23
Lopez F.,Herbert P.H.,3.14:1.35
Hanfmann Y.,Lajovic D.,1.69:2.15
Marterer M.,Hurkacz H.,2.31:1.6
Delbonis F.,Basilashvili N.,1.41:2.88
Djere L.,Sinner J.,2.86:1.41
Kecmanovic M.,Thompson J.,1.35:3.15
Schwartzman D.,Ofner S.,1.14:5.59
Lopez F.,Pella G.,3.38:1.31
Huesler M.A.,Fognini F.,3.03:1.37
Hanfmann Y.,Marterer M.,1.78:2.02
Djere L.,Schwartzman D.,2.46:1.54
Kecmanovic M.,Delbonis F.,1.78:2.02
Huesler M.A.,Lopez F.,2.25:1.64
Hanfmann Y.,Djere L.,2.01:1.79
Kecmanovic M.,Huesler M.A.,1.31:3.36
Kecmanovic M.,Hanfmann Y.,1.83:1.96
Thompson J.,Travaglia S.,1.6:2.33
Coric B.,Andujar P.,1.11:6.57
Davidovich Fokina A.,Novak D.,2.46:1.55
Coria F.,Jung J.,3.61:1.29
Gerasimov E.,Lajovic D.,2.17:1.69
Londero J.I.,Donskoy E.,1.59:2.36
Norrie C.,Schwartzman D.,3.43:1.31
Shapovalov D.,Korda S.,1.12:6.5
Mannarino A.,Sonego L.,1.6:2.34
Zverev A.,Anderson K.,1.29:3.61
Carreno Busta P.,Uchiyama Y.,1.11:6.72
Sock J.,Cuevas P.,1.61:2.32
Hurkacz H.,Gojowczyk P.,1.2:4.57
Simon G.,Safwat M.,1.18:4.82
Krueger M.,Sousa P.,1.17:5.17
Nakashima B.,Lorenzi P.,1.2:4.65
Tsitsipas S.,Ramos-Vinolas A.,1.02:17.2
Cressy M.,Kovalik J.,1.55:2.45
Fritz T.,Koepfer D.,1.2:4.61
Giron M.,Polmans M.,1.3:3.5
Kukushkin M.,Balazs A.,1.34:3.25
Kwon S.W.,Kwiatkowski T.S.,1.32:3.38
Berankis R.,Gaio F.,1.17:5.05
Edmund K.,Bublik A.,1.32:3.37
Johnson S.,Isner J.,3.1:1.37
Goffin D.,Opelka R.,1.56:2.43
Krajinovic F.,Ymer M.,1.14:5.66
Harris L.,Cecchinato M.,1.22:4.26
Djokovic N.,Dzumhur D.,1.01:21.84
Struff J.L.,Martinez P.,1.14:5.64
Garin C.,Blanch U.,1.36:3.16
Mmoh M.,Sousa J.,1.77:2.05
Kuznetsov An.,Querrey S.,6.45:1.12
Murray A.,Nishioka Y.,1.38:3.07
Ruud C.,Mcdonald M.,1.58:2.39
Nagal S.,Klahn B.,2.61:1.5
Ruusuvuori E.,Bedene A.,2.1:1.74
Khachanov K.,Sinner J.,1.54:2.48
Thiem D.,Munar J.,1.05:10.48
Auger-Aliassime F.,Monteiro T.,1.1:7.05
Cilic M.,Kudla D.,1.3:3.54
Rublev A.,Chardy J.,1.12:6.31
Barrere G.,Daniel T.,1.44:2.8
Gombos N.,Albot R.,1.46:2.72
Evans D.,Seyboth Wild T.,1.14:5.73
Pospisil V.,Kohlschreiber P.,1.67:2.21
Wolf J.J.,Pella G.,1.59:2.35
Carballes Baena R.,Lopez F.,2.79:1.44
Bautista Agut R.,Sandgren T.,1.16:5.18
Kecmanovic M.,Mager G.,1.18:4.94
Raonic M.,Mayer L.,1.04:12.17
Moutet C.,Vesely J.,1.67:2.2
Dimitrov G.,Paul T.,1.55:2.45
O Connell C.,Djere L.,1.63:2.29
Fucsovics M.,Dellien H.,1.04:12.18
Escobedo E.,Majchrzak K.,2.69:1.47
Gasquet R.,Karlovic I.,1.13:6.04
Tiafoe F.,Seppi A.,1.57:2.41
De Minaur A.,Martin A.,1.05:10.55
Berrettini M.,Soeda G.,1.02:14.69
Caruso S.,Duckworth J.,1.53:2.5
Millman J.,Basilashvili N.,1.3:3.51
Humbert U.,Sugita Y.,1.22:4.26
Medvedev D.,Delbonis F.,1.01:19.56
Krajinovic F.,Giron M.,1.1:7.24
Kukushkin M.,Garin C.,2.06:1.77
Zverev A.,Nakashima B.,1.17:5.03
Thompson J.,Gerasimov E.,1.73:2.11
Goffin D.,Harris L.,1.14:5.62
Struff J.L.,Mmoh M.,1.15:5.58
Djokovic N.,Edmund K.,1.03:14.11
Mannarino A.,Sock J.,1.45:2.78
Davidovich Fokina A.,Hurkacz H.,4.52:1.2
Norrie C.,Coria F.,1.07:8.71
Carreno Busta P.,Krueger M.,1.12:6.28
Fritz T.,Simon G.,1.44:2.8
Coric B.,Londero J.I.,1.22:4.28
Berankis R.,Johnson S.,2.07:1.76
Shapovalov D.,Kwon S.W.,1.2:4.62
Tsitsipas S.,Cressy M.,1.01:19.03
Bautista Agut R.,Kecmanovic M.,1.11:6.7
De Minaur A.,Gasquet R.,1.34:3.28
Khachanov K.,Kuznetsov An.,1.22:4.32
Cilic M.,Gombos N.,1.34:3.29
Rublev A.,Barrere G.,1.08:7.77
Caruso S.,Escobedo E.,1.9:1.9
Ruud C.,Ruusuvuori E.,2.48:1.54
Pospisil V.,Raonic M.,5.15:1.16
Thiem D.,Nagal S.,1.04:12.42
Wolf J.J.,Carballes Baena R.,1.32:3.41
Fucsovics M.,Dimitrov G.,2.33:1.61
Tiafoe F.,Millman J.,2.44:1.56
Berrettini M.,Humbert U.,1.34:3.27
Medvedev D.,O Connell C.,1.01:17.92
Auger-Aliassime F.,Murray A.,1.53:2.52
Moutet C.,Evans D.,3.67:1.28
Davidovich Fokina A.,Norrie C.,2.71:1.47
Goffin D.,Krajinovic F.,2.47:1.55
Thompson J.,Kukushkin M.,1.36:3.17
Carreno Busta P.,Berankis R.,1.3:3.52
Shapovalov D.,Fritz T.,1.58:2.39
Zverev A.,Mannarino A.,1.16:5.19
Djokovic N.,Struff J.L.,1.03:13.0
Coric B.,Tsitsipas S.,7.07:1.1
Rublev A.,Caruso S.,1.06:9.34
Medvedev D.,Wolf J.J.,1.04:10.9
Pospisil V.,Bautista Agut R.,3.46:1.31
De Minaur A.,Khachanov K.,1.63:2.27
Berrettini M.,Ruud C.,1.15:5.62
Auger-Aliassime F.,Moutet C.,1.21:4.45
Tiafoe F.,Fucsovics M.,2.47:1.55
Thiem D.,Cilic M.,1.21:4.41
Zverev A.,Davidovich Fokina A.,1.12:6.52
Carreno Busta P.,Djokovic N.,13.87:1.03
Coric B.,Thompson J.,1.53:2.52
Shapovalov D.,Goffin D.,2.14:1.72
De Minaur A.,Pospisil V.,1.46:2.73
Thiem D.,Auger-Aliassime F.,1.39:3.05
Rublev A.,Berrettini M.,1.99:1.83
Medvedev D.,Tiafoe F.,1.1:7.11
Zverev A.,Coric B.,1.35:3.22
Carreno Busta P.,Shapovalov D.,2.23:1.67
Medvedev D.,Rublev A.,1.25:3.98
Thiem D.,De Minaur A.,1.18:5.04
Zverev A.,Carreno Busta P.,1.35:3.28
Thiem D.,Medvedev D.,1.98:1.86
Thiem D.,Zverev A.,1.27:3.84
Krajinovic F.,Auger-Aliassime F.,1.62:2.31
Ruud C.,Khachanov K.,1.99:1.81
Dimitrov G.,Mager G.,1.52:2.53
Cilic M.,Bublik A.,1.34:3.26
Coric B.,Garin C.,2.01:1.8
Sonego L.,Basilashvili N.,1.35:3.21
Humbert U.,Anderson K.,2.28:1.63
Hurkacz H.,Evans D.,1.65:2.24
Nishikori K.,Ramos-Vinolas A.,1.52:2.53
Sinner J.,Paire B.,1.28:3.67
Travaglia S.,Fritz T.,2.27:1.63
Rublev A.,Bagnis F.,1.19:4.63
Millman J.,Sousa J.,1.49:2.62
Coria F.,Struff J.L.,3.32:1.33
Koepfer D.,De Minaur A.,3.1:1.37
Caruso S.,Sandgren T.,2.12:1.73
Martinez P.,Querrey S.,1.35:3.18
Lajovic D.,Davidovich Fokina A.,3.01:1.38
Shapovalov D.,Pella G.,1.94:1.87
Nishioka Y.,Kecmanovic M.,2.88:1.41
Cecchinato M.,Edmund K.,1.93:1.87
Raonic M.,Mannarino A.,1.19:4.83
Musetti L.,Wawrinka S.,3.61:1.29
Berrettini M.,Coria F.,1.19:4.73
Cilic M.,Goffin D.,2.82:1.43
Travaglia S.,Coric B.,2.81:1.43
Djokovic N.,Caruso S.,1.03:13.26
Sinner J.,Tsitsipas S.,3.68:1.28
Krajinovic F.,Cecchinato M.,1.34:3.24
Dimitrov G.,Nishioka Y.,1.5:2.56
Nadal R.,Carreno Busta P.,1.05:10.54
Shapovalov D.,Martinez P.,1.31:3.48
Schwartzman D.,Millman J.,1.3:3.53
Lajovic D.,Raonic M.,3.17:1.36
Humbert U.,Fognini F.,1.79:2.02
Hurkacz H.,Rublev A.,4.85:1.18
Ruud C.,Sonego L.,1.44:2.8
Musetti L.,Nishikori K.,1.96:1.84
Koepfer D.,Monfils G.,2.89:1.41
Berrettini M.,Travaglia S.,1.24:4.03
Dimitrov G.,Sinner J.,1.99:1.82
Shapovalov D.,Humbert U.,1.33:3.36
Ruud C.,Cilic M.,1.66:2.23
Djokovic N.,Krajinovic F.,1.18:4.95
Koepfer D.,Musetti L.,3.02:1.38
Schwartzman D.,Hurkacz H.,1.53:2.52
Nadal R.,Lajovic D.,1.02:16.38
Ruud C.,Berrettini M.,2.28:1.63
Djokovic N.,Koepfer D.,1.02:13.71
Shapovalov D.,Dimitrov G.,2.0:1.81
Schwartzman D.,Nadal R.,14.71:1.03
Djokovic N.,Ruud C.,17.0:5.05
Schwartzman D.,Shapovalov D.,1.63:2.28
Djokovic N.,Schwartzman D.,1.16:5.26
Cuevas P.,Fritz T.,2.01:1.8
Vesely J.,Simon G.,1.81:2.0
Paul T.,Anderson K.,1.6:2.34
Rublev A.,Sandgren T.,1.29:3.58
Garin C.,Nishikori K.,1.82:1.98
Bautista Agut R.,Basilashvili N.,1.17:5.0
Koepfer D.,Nishioka Y.,1.62:2.3
Hanfmann Y.,Monfils G.,1.88:1.91
Fognini F.,Kohlschreiber P.,2.15:1.7
Auger-Aliassime F.,Sonego L.,1.42:2.88
Bublik A.,Ramos-Vinolas A.,2.39:1.57
Khachanov K.,Struff J.L.,1.79:2.02
Humbert U.,Medvedev D.,4.61:1.2
Lajovic D.,Mannarino A.,1.28:3.68
Ruud C.,Paire B.,1.17:4.94
Tsitsipas S.,Evans D.,1.16:5.16
Garin C.,Hanfmann Y.,1.65:2.22
Rublev A.,Paul T.,1.15:5.49
Bublik A.,Auger-Aliassime F.,4.47:1.2
Bautista Agut R.,Koepfer D.,1.29:3.58
Lajovic D.,Khachanov K.,1.95:1.85
Tsitsipas S.,Cuevas P.,1.19:4.74
Humbert U.,Vesely J.,1.55:2.45
Ruud C.,Fognini F.,1.39:2.97
Rublev A.,Bautista Agut R.,1.63:2.27
Tsitsipas S.,Lajovic D.,1.42:2.87
Ruud C.,Humbert U.,1.37:3.09
Garin C.,Bublik A.,1.31:3.48
Rublev A.,Ruud C.,1.46:2.71
Tsitsipas S.,Garin C.,1.3:3.57
Rublev A.,Tsitsipas S.,1.77:2.06
Bonzi B.,Ruusuvuori E.,2.89:1.42
Korda S.,Seppi A.,1.43:2.83
Sinner J.,Goffin D.,1.97:1.84
Fritz T.,Machac T.,1.39:3.03
Nishikori K.,Evans D.,1.52:2.56
Coria F.,Jung J.,1.31:3.44
Rodionov J.,Chardy J.,1.94:1.87
Travaglia S.,Andujar P.,2.15:1.71
Isner J.,Benchetrit E.,1.25:4.01
Cecchinato M.,De Minaur A.,1.71:2.15
Gombos N.,Coric B.,6.6:1.11
Koepfer D.,Hoang A.,1.3:3.54
Albot R.,Thompson J.,2.58:1.51
Paire B.,Kwon S.W.,2.19:1.68
Londero J.I.,Delbonis F.,2.27:1.64
Wawrinka S.,Murray A.,1.34:3.29
Schwartzman D.,Kecmanovic M.,1.2:4.56
Zverev A.,Novak D.,1.07:9.2
Thiem D.,Cilic M.,1.1:7.2
Nishioka Y.,Auger-Aliassime F.,4.58:1.2
Sock J.,Opelka R.,1.51:2.56
Gaston H.,Janvier M.,1.37:3.11
Martinez P.,Vukic A.,1.25:4.01
Herbert P.H.,Mmoh M.,1.58:2.4
Kukushkin M.,Fognini F.,3.13:1.36
Sonego L.,Gomez E.,1.31:3.44
Paul T.,Duckworth J.,1.19:4.8
Mcdonald M.,Diez S.,2.82:1.44
Giustino L.,Moutet C.,4.77:1.19
Vesely J.,Broady L.,1.34:3.32
Struff J.L.,Tiafoe F.,1.49:2.63
Pella G.,Caruso S.,1.75:2.08
Ruud C.,Sugita Y.,1.04:11.83
Milojevic N.,Krajinovic F.,8.35:1.07
Bublik A.,Monfils G.,2.14:1.71
Nadal R.,Gerasimov E.,1.01:22.68
Bedene A.,Rinderknech A.,1.37:3.12
Sandgren T.,Hurkacz H.,2.98:1.4
Galan D.,Norrie C.,1.71:2.15
Ramos-Vinolas A.,Mannarino A.,1.43:2.85
Khachanov K.,Majchrzak K.,1.32:3.37
Altmaier D.,Lopez F.,1.46:2.72
Fucsovics M.,Medvedev D.,4.43:1.21
Carreno Busta P.,Millman J.,1.26:3.87
Harris L.,Popyrin A.,1.93:1.88
Berrettini M.,Pospisil V.,1.1:7.02
Garin C.,Kohlschreiber P.,1.15:5.43
Polmans M.,Humbert U.,6.32:1.12
Davidovich Fokina A.,Mayot H.,1.13:5.97
Lajovic D.,Mager G.,1.12:6.24
Anderson K.,Djere L.,2.78:1.44
Berankis R.,Dellien H.,2.56:1.51
Giron M.,Halys Q.,1.83:1.98
Rublev A.,Querrey S.,1.05:11.62
Djokovic N.,Ymer M.,1.01:21.63
Carballes Baena R.,Johnson S.,1.54:2.5
Balazs A.,Uchiyama Y.,1.35:3.22
Cuevas P.,Laaksonen H.,1.47:2.71
Monteiro T.,Basilashvili N.,1.4:2.95
Tsitsipas S.,Munar J.,1.1:6.91
Shapovalov D.,Simon G.,1.12:6.36
Dimitrov G.,Barrere G.,1.13:6.13
Bautista Agut R.,Gasquet R.,1.17:5.16
Martin A.,Sousa J.,1.5:2.61
Korda S.,Isner J.,2.49:1.54
Fritz T.,Albot R.,1.52:2.54
Wawrinka S.,Koepfer D.,1.27:3.78
Gaston H.,Nishioka Y.,3.54:1.3
Schwartzman D.,Giustino L.,1.01:19.32
Gombos N.,Rodionov J.,1.44:2.82
Thiem D.,Sock J.,1.04:12.09
Nadal R.,Mcdonald M.,1.01:22.51
Martinez P.,Kukushkin M.,1.46:2.73
Travaglia S.,Nishikori K.,1.68:2.2
Sonego L.,Bublik A.,2.28:1.63
Ruud C.,Paul T.,1.18:4.88
Coria F.,Paire B.,1.97:1.84
Zverev A.,Herbert P.H.,1.11:6.8
Cecchinato M.,Londero J.I.,1.32:3.41
Sinner J.,Bonzi B.,1.09:7.75
Carballes Baena R.,Shapovalov D.,4.52:1.2
Fucsovics M.,Ramos-Vinolas A.,1.44:2.79
Garin C.,Polmans M.,1.09:7.51
Monteiro T.,Giron M.,1.23:4.24
Khachanov K.,Vesely J.,1.27:3.79
Altmaier D.,Struff J.L.,3.11:1.37
Dimitrov G.,Martin A.,1.14:5.93
Galan D.,Sandgren T.,3.09:1.38
Carreno Busta P.,Pella G.,1.29:3.65
Djokovic N.,Berankis R.,1.01:21.54
Bedene A.,Milojevic N.,1.86:1.95
Tsitsipas S.,Cuevas P.,1.18:4.99
Anderson K.,Lajovic D.,2.56:1.51
Bautista Agut R.,Balazs A.,1.06:10.03
Rublev A.,Davidovich Fokina A.,1.2:4.68
Berrettini M.,Harris L.,1.08:8.29
Thiem D.,Ruud C.,1.13:6.13
Korda S.,Martinez P.,2.85:1.43
Sonego L.,Fritz T.,1.98:1.83
Gaston H.,Wawrinka S.,11.69:1.04
Sinner J.,Coria F.,1.16:5.41
Nadal R.,Travaglia S.,1.01:22.92
Schwartzman D.,Gombos N.,1.06:10.33
Zverev A.,Cecchinato M.,1.42:2.9
Altmaier D.,Berrettini M.,5.08:1.17
Rublev A.,Anderson K.,1.21:4.42
Carreno Busta P.,Bautista Agut R.,2.09:1.75
Fucsovics M.,Monteiro T.,1.52:2.54
Tsitsipas S.,Bedene A.,1.1:7.22
Dimitrov G.,Carballes Baena R.,1.21:4.51
Khachanov K.,Garin C.,2.15:1.71
Djokovic N.,Galan D.,1.01:22.41
Nadal R.,Korda S.,1.01:22.01
Sinner J.,Zverev A.,2.74:1.46
Thiem D.,Gaston H.,1.02:16.67
Schwartzman D.,Sonego L.,1.16:5.26
Rublev A.,Fucsovics M.,1.23:4.26
Tsitsipas S.,Dimitrov G.,1.31:3.49
Djokovic N.,Khachanov K.,1.03:13.89
Carreno Busta P.,Altmaier D.,1.22:4.32
Schwartzman D.,Thiem D.,3.01:1.4
Nadal R.,Sinner J.,1.08:8.31
Tsitsipas S.,Rublev A.,1.52:2.57
Djokovic N.,Carreno Busta P.,1.06:10.15
Nadal R.,Schwartzman D.,1.16:5.51
Djokovic N.,Tsitsipas S.,1.31:3.53
Nadal R.,Djokovic N.,1.68:2.24
Otte O.,Struff J.L.,2.81:1.43
Zverev M.,Millman J.,4.11:1.23
Albot R.,Herbert P.H.,2.37:1.58
Hurkacz H.,Polmans M.,1.33:3.26
Johnson S.,Krajinovic F.,4.39:1.2
Novak D.,Thompson J.,2.12:1.71
Laaksonen H.,Altmaier D.,2.21:1.65
Simon G.,Fucsovics M.,2.95:1.39
Davidovich Fokina A.,Ruusuvuori E.,3.21:1.34
Cilic M.,Giron M.,1.28:3.65
Harris L.,Edmund K.,2.23:1.64
Verdasco F.,Murray A.,3.27:1.33
Albot R.,Otte O.,2.25:1.63
Novak D.,Paire B.,1.58:2.35
Hurkacz H.,Zverev M.,1.31:3.43
Harris L.,Johnson S.,1.65:2.23
Zverev A.,Verdasco F.,1.2:4.5
Davidovich Fokina A.,Cilic M.,2.43:1.55
Auger-Aliassime F.,Laaksonen H.,1.25:3.9
Bautista Agut R.,Simon G.,1.35:3.13
Zverev A.,Harris L.,1.12:6.19
Davidovich Fokina A.,Novak D.,1.7:2.14
Auger-Aliassime F.,Albot R.,1.2:4.51
Bautista Agut R.,Hurkacz H.,1.36:3.12
Zverev A.,Davidovich Fokina A.,1.14:5.75
Auger-Aliassime F.,Bautista Agut R.,1.97:1.83
Zverev A.,Auger-Aliassime F.,1.39:2.95
Vesely J.,Majchrzak K.,1.71:2.11
Musetti L.,Cuevas P.,1.58:2.35
Paul T.,Martin A.,1.36:3.13
Pellegrino A.,Travaglia S.,3.02:1.37
Andujar P.,Kovalik J.,1.62:2.29
Delbonis F.,Seppi A.,1.26:3.82
Carballes Baena R.,Coria F.,1.96:1.83
Sonego L.,Zeppieri G.,1.27:3.69
Cecchinato M.,Mager G.,1.42:2.84
Djere L.,Nagal S.,1.56:2.4
Hanfmann Y.,Caruso S.,1.68:2.16
Moutet C.,Tiafoe F.,2.17:1.67
Vesely J.,Sonego L.,2.2:1.66
Delbonis F.,Andujar P.,1.67:2.18
Petrovic D.,Carballes Baena R.,3.07:1.36
Djere L.,Lajovic D.,2.11:1.71
Hanfmann Y.,Ruud C.,2.91:1.4
Musetti L.,Pellegrino A.,1.21:4.28
