name,followers_2019,followers_2021
Ramirez-Hidalgo R.,1000.0,1000.0
Ramos A.,1000.0,1000.0
Ramos-Vinolas A.,1000.0,1000.0
Raonic M.,1000.0,1000.0
Recouderc L.,1000.0,1000.0
Reid M.,1000.0,1000.0
Reinberg E.,1000.0,1000.0
Reister J.,1000.0,1000.0
Reix C.,1000.0,1000.0
Renavand N.,1000.0,1000.0
Reyes-Varela M.A.,1000.0,1000.0
Reynolds B.,1000.0,1000.0
Riba P.,1000.0,1000.0
Riba-Madrid P.,1000.0,1000.0
Riedi L.,1000.0,1000.0
Rieschick S.,1000.0,1000.0
Riffice S.,1000.0,1000.0
Rinderknech A.,1000.0,1000.0
Rios F.,1000.0,1000.0
Robert S.,1000.0,1000.0
Robredo T.,1000.0,1000.0
Roca Batalla O.,1000.0,1000.0
Rochus C.,1000.0,1000.0
Rochus O.,1000.0,1000.0
Roddick A.,1000.0,1000.0
Rodionov J.,1000.0,1000.0
Rodrigues M.,1000.0,1000.0
Roger-Vasselin E.,1000.0,1000.0
Rola B.,1000.0,1000.0
Romboli F.,1000.0,1000.0
Rosenholm P.,1000.0,1000.0
Rosol L.,1000.0,1000.0
Roumane R.,1000.0,1000.0
Rubin N.,1000.0,1000.0
Rublev A.,1000.0,1000.0
Rufin G.,1000.0,1000.0
Rune H.,1000.0,1000.0
Russell M.,1000.0,1000.0
Ruud C.,1000.0,1000.0
Ruusuvuori E.,1000.0,1000.0
Ryderstedt M.,1000.0,1000.0
Saavedra Corvalan C.,1000.0,1000.0
Sabry S.,1000.0,1000.0
Sachko V.,1000.0,1000.0
Sadecky A.,1000.0,1000.0
Safiullin R.,1000.0,1000.0
Safranek V.,1000.0,1000.0
Safwat M.,1000.0,1000.0
Sakamoto P.,1000.0,1000.0
Sakharov G.,1000.0,1000.0
Salamanca C.,1000.0,1000.0
Samper-Montana J.,1000.0,1000.0
Sanchez M.,1000.0,1000.0
Sandgren T.,1000.0,1000.0
Santillan A.,1000.0,1000.0
Santoro F.,1000.0,1000.0
Sarkissian A.,1000.0,1000.0
Sarmiento R.,1000.0,1000.0
