name,followers_2019,followers_2021,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Coric B.,196635,240511,0,0,3,147,557,941,945,1001,2480,1415,1855
Corrie E.,1000,1001,2,21,60,149,204,89,189,123,3,0,0
Couacaud E.,1000,1001,0,0,3,72,203,98,102,63,143,261,287
Cox D.,1000,1001,132,97,56,186,164,121,50,0,0,0,0
Cressy M.,1000,1001,0,0,0,0,0,0,1,0,82,258,384
Crivoi V.,1000,1001,304,199,173,205,149,56,8,0,0,1,1
Crugnola M.,1000,1001,202,177,64,39,1,0,0,0,0,0,0
Cuevas P.,39296,712339,790,370,0,215,1222,1065,1780,1370,630,1097,917
Dabul B.,1000,1001,594,269,0,0,0,0,0,0,0,0,0
Dancevic F.,1000,1001,172,346,324,460,362,239,216,118,89,0,0
Daniel M.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Daniel T.,17273,23121,7,75,165,196,293,603,476,579,691,501,581
Darcis S.,1000,1001,521,622,571,316,317,638,658,667,0,332,196
Dasnieres de Veigy J.,1000,1001,149,212,364,80,0,0,0,0,0,0,0
Davidovich Fokina A.,1000,1001,0,0,0,0,0,3,18,71,233,627,1066
Davydenko N.,1000,1001,1655,980,885,890,195,0,0,0,0,0,0
Davydenko P.,1000,1001,1,5,14,4,104,26,4,4,26,0,0
De Bakker T.,1000,1001,975,216,457,384,375,587,201,114,231,55,31
De Greef A.,117002,223608,0,0,0,0,0,0,0,0,0,0,0
De Heart R.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
De Loore J.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
De Minaur A.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
De Paula F.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
De Schepper K.,1000,1001,69,382,487,617,540,396,369,347,258,28,33
De Voest R.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Decoud S.,1000,1001,222,153,74,0,0,0,0,0,0,0,0
Deen Heshaam A.,1000,1001,0,1,0,0,0,0,0,0,0,0,0
Deheart R.,1000,1001,202,7,0,1,0,0,0,0,1,0,0
Del Bonis F.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Del Potro J. M.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Del Potro J.M.,1815226,1867755,0,0,0,0,0,0,0,0,0,0,0
Delbonis F.,12192,18443,335,306,414,836,775,815,1040,755,678,732,825
Delgado R.,1000,1001,276,0,0,0,0,0,0,0,0,0,0
Delic A.,1000,1001,70,231,93,0,0,0,0,0,0,0,0
Delic M.,1000,1001,0,2,58,98,336,97,62,87,50,0,0
Dellien H.,1000,1001,3,5,31,128,188,81,28,217,504,743,638
Demoliner M.,1000,1001,84,102,184,68,14,32,5,0,0,0,0
Dent T.,1000,1001,480,0,0,0,0,0,0,0,0,0,0
Desein N.,1000,1001,149,38,202,254,241,195,75,72,30,2,0
Devilder N.,1000,1001,92,117,236,0,0,0,0,0,0,0,0
Devvarman S.,1000,1001,526,631,32,599,381,284,15,0,0,0,0
Di Mauro A.,1000,1001,334,240,92,205,26,0,0,0,0,0,0
Diaz Acosta F.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Diez S.,1000,1001,70,113,203,202,109,113,350,161,124,411,358
Dimitrov G.,854606,1026272,536,666,866,1520,3645,1360,2035,5150,1835,1747,2260
