Location,Surface,Year,Tournament
Indian Wells,Hard,2011,BNP Paribas Open
Miami,Hard,2011,Sony Ericsson Open
Casablanca,Clay,2011,Grand Prix Hassan II
Houston,Clay,2011,U.S. Men's Clay Court Championships
Monte Carlo,Clay,2011,Monte Carlo Masters
Barcelona,Clay,2011,Open Banco Sabadell
Belgrade,Clay,2011,Serbia Open
Estoril ,Clay,2011,Estoril Open
Munich,Clay,2011,BMW Open
Madrid,Clay,2011,Mutua Madrileña Madrid Open
Rome,Clay,2011,Internazionali BNL d'Italia
Nice,Clay,2011,Open de Nice Côte d’Azur
Paris,Clay,2011,French Open
Halle,Grass,2011,Gerry Weber Open
Queens Club,Grass,2011,AEGON Championships
Eastbourne,Grass,2011,AEGON International
's-Hertogenbosch,Grass,2011,Unicef Open
London,Grass,2011,Wimbledon
Newport,Grass,2011,Hall of Fame Championships
Bastad,Clay,2011,SkiStar Swedish Open
Stuttgart,Clay,2011,Mercedes Cup
Atlanta,Hard,2011,Atlanta Tennis Championships
Hamburg,Clay,2011,German Open Tennis Championships
Gstaad,Clay,2011,Allianz Suisse Open
Los Angeles,Hard,2011,Farmers Classic
Umag,Clay,2011,Studena Croatia Open
Kitzbuhel,Clay,2011,Bet-At-Home Cup
Washington,Hard,2011,Legg Mason Classic
Montreal,Hard,2011,Rogers Masters
Cincinnati,Hard,2011,Western & Southern Financial Group Masters
Winston-Salem,Hard,2011,Winston-Salem Open at Wake Forest University
New York,Hard,2011,US Open
Bucharest,Clay,2011,Open Romania
Metz,Hard,2011,Open de Moselle
Bangkok,Hard,2011,Thailand Open
Kuala Lumpur,Hard,2011,Malaysian Open
Beijing,Hard,2011,China Open
Tokyo,Hard,2011,Rakuten Japan Open Tennis Championships
Shanghai,Hard,2011,Shanghai Masters
Moscow,Hard,2011,Kremlin Cup
Stockholm,Hard,2011,Stockholm Open
St. Petersburg,Hard,2011,St. Petersburg Open
Vienna,Hard,2011,Erste Bank Open
Basel,Hard,2011,Swiss Indoors
Valencia,Hard,2011,Valencia Open 500
Paris,Hard,2011,BNP Paribas Masters
London,Hard,2011,Masters Cup
Brisbane,Hard,2012,Brisbane International
Chennai,Hard,2012,Chennai Open
Doha,Hard,2012,Qatar Exxon Mobil Open
Auckland,Hard,2012,Heineken Open
Sydney,Hard,2012,Apia International
Melbourne,Hard,2012,Australian Open
Montpellier,Hard,2012,Open Sud de France
Vina del Mar,Clay,2012,VTR Open
Zagreb,Hard,2012,PBZ Zagreb Indoors
Rotterdam,Hard,2012,ABN AMRO World Tennis Tournament
San Jose,Hard,2012,SAP Open
Sao Paulo,Clay,2012,Brasil Open
Buenos Aires,Clay,2012,Copa Claro
Marseille,Hard,2012,Open 13
Memphis,Hard,2012,Regions Morgan Keegan Championships
Acapulco,Clay,2012,Abierto Mexicano
Delray Beach,Hard,2012,International Championships
Dubai ,Hard,2012,Dubai Tennis Championships
Indian Wells,Hard,2012,BNP Paribas Open
Miami,Hard,2012,Sony Ericsson Open
Casablanca,Clay,2012,Grand Prix Hassan II
Houston,Clay,2012,U.S. Men's Clay Court Championships
Monte Carlo,Clay,2012,Monte Carlo Masters
Barcelona,Clay,2012,Open Banco Sabadell
Bucharest,Clay,2012,BRD Nastase Tiriac Trophy
Belgrade,Clay,2012,Serbia Open
Estoril ,Clay,2012,Estoril Open
Munich,Clay,2012,BMW Open
Madrid,Clay,2012,Mutua Madrid Open
Rome,Clay,2012,Internazionali BNL d'Italia
Nice,Clay,2012,Open de Nice Côte d’Azur
Paris,Clay,2012,French Open
Halle,Grass,2012,Gerry Weber Open
Queens Club,Grass,2012,AEGON Championships
Eastbourne,Grass,2012,AEGON International
's-Hertogenbosch,Grass,2012,Unicef Open
London,Grass,2012,Wimbledon
Bastad,Clay,2012,SkiStar Swedish Open
Newport,Grass,2012,Hall of Fame Championships
Stuttgart,Clay,2012,Mercedes Cup
Umag,Clay,2012,ATP Vegeta Croatia Open
Atlanta,Hard,2012,BB&T Atlanta Open
Gstaad,Clay,2012,Crédit Agricole Suisse Open Gstaad
Hamburg,Clay,2012,German Open Tennis Championships
Kitzbuhel,Clay,2012,Bet-At-Home Cup
Los Angeles,Hard,2012,Farmers Classic
Washington,Hard,2012,Citi Open
Toronto,Hard,2012,Rogers Masters
Cincinnati,Hard,2012,Western & Southern Financial Group Masters
Winston-Salem,Hard,2012,Winston-Salem Open at Wake Forest University
New York,Hard,2012,US Open
Metz,Hard,2012,Open de Moselle
St. Petersburg,Hard,2012,St. Petersburg Open
Bangkok,Hard,2012,Thailand Open
Kuala Lumpur,Hard,2012,Malaysian Open
Beijing,Hard,2012,China Open
Tokyo,Hard,2012,Rakuten Japan Open Tennis Championships
Shanghai,Hard,2012,Shanghai Masters
Moscow,Hard,2012,Kremlin Cup
Stockholm,Hard,2012,Stockholm Open
Vienna,Hard,2012,Erste Bank Open
Basel,Hard,2012,Swiss Indoors
Valencia,Hard,2012,Valencia Open 500
Paris,Hard,2012,BNP Paribas Masters
London,Hard,2012,Masters Cup
Brisbane,Hard,2013,Brisbane International
Chennai,Hard,2013,Chennai Open
Doha,Hard,2013,Qatar Exxon Mobil Open
Auckland,Hard,2013,Heineken Open
Sydney,Hard,2013,Apia International
Melbourne,Hard,2013,Australian Open
Montpellier,Hard,2013,Open Sud de France
Vina del Mar,Clay,2013,VTR Open
Zagreb,Hard,2013,PBZ Zagreb Indoors
Rotterdam,Hard,2013,ABN AMRO World Tennis Tournament
San Jose,Hard,2013,SAP Open
Sao Paulo,Clay,2013,Brasil Open
Buenos Aires,Clay,2013,Copa Claro
Marseille,Hard,2013,Open 13
Memphis,Hard,2013,U.S. National Indoor Tennis Championships
Acapulco,Clay,2013,Abierto Mexicano
Delray Beach,Hard,2013,International Championships
Dubai ,Hard,2013,Dubai Tennis Championships
Indian Wells,Hard,2013,BNP Paribas Open
Miami,Hard,2013,Sony Ericsson Open
Casablanca,Clay,2013,Grand Prix Hassan II
Houston,Clay,2013,U.S. Men's Clay Court Championships
Monte Carlo,Clay,2013,Monte Carlo Masters
Barcelona,Clay,2013,Open Banco Sabadell
Bucharest,Clay,2013,BRD Nastase Tiriac Trophy
Munich,Clay,2013,BMW Open
Oeiras,Clay,2013,Portugal Open
Madrid,Clay,2013,Mutua Madrid Open
Rome,Clay,2013,Internazionali BNL d'Italia
Dusseldorf,Clay,2013,Power Horse Cup
Nice,Clay,2013,Open de Nice Côte d’Azur
Paris,Clay,2013,French Open
Halle,Grass,2013,Gerry Weber Open
Queens Club,Grass,2013,AEGON Championships
Eastbourne,Grass,2013,AEGON International
's-Hertogenbosch,Grass,2013,Topshelf Open
London,Grass,2013,Wimbledon
Bastad,Clay,2013,SkiStar Swedish Open
Newport,Grass,2013,Hall of Fame Championships
Stuttgart,Clay,2013,Mercedes Cup
Bogota,Clay,2013,Claro Open Colombia
Hamburg,Clay,2013,German Open Tennis Championships
Atlanta,Hard,2013,BB&T Atlanta Open
Gstaad,Clay,2013,Crédit Agricole Suisse Open Gstaad
Umag,Clay,2013,ATP Vegeta Croatia Open
Kitzbuhel,Clay,2013,Bet-At-Home Cup
Washington,Hard,2013,Citi Open
Montreal,Hard,2013,Rogers Masters
Cincinnati,Hard,2013,Western & Southern Financial Group Masters
Winston-Salem,Hard,2013,Winston-Salem Open at Wake Forest University
New York,Hard,2013,US Open
Metz,Hard,2013,Open de Moselle
St. Petersburg,Hard,2013,St. Petersburg Open
Bangkok,Hard,2013,Thailand Open
Kuala Lumpur,Hard,2013,Malaysian Open
Shanghai,Hard,2013,Shanghai Masters
Moscow,Hard,2013,Kremlin Cup
Stockholm,Hard,2013,Stockholm Open
Vienna,Hard,2013,Erste Bank Open
Basel,Hard,2013,Swiss Indoors
Valencia,Hard,2013,Valencia Open 500
Paris,Hard,2013,BNP Paribas Masters
London,Hard,2013,Masters Cup
Brisbane,Hard,2014,Brisbane International
Chennai,Hard,2014,Chennai Open
Doha,Hard,2014,Qatar Exxon Mobil Open
Auckland,Hard,2014,Heineken Open
Sydney,Hard,2014,Apia International
Melbourne,Hard,2014,Australian Open
Montpellier,Hard,2014,Open Sud de France
Vina del Mar,Clay,2014,Royal Guard Open Chile
Zagreb,Hard,2014,PBZ Zagreb Indoors
Buenos Aires,Clay,2014,Copa Claro
Memphis,Hard,2014,U.S. National Indoor Tennis Championships
Rotterdam,Hard,2014,ABN AMRO World Tennis Tournament
Delray Beach,Hard,2014,Delray Beach Open
Marseille,Hard,2014,Open 13
Rio de Janeiro,Clay,2014,Rio Open
Acapulco,Hard,2014,Abierto Mexicano
Dubai ,Hard,2014,Dubai Tennis Championships
Sao Paulo,Clay,2014,Brasil Open
Indian Wells,Hard,2014,BNP Paribas Open
Miami,Hard,2014,Sony Ericsson Open
Casablanca,Clay,2014,Grand Prix Hassan II
Houston,Clay,2014,U.S. Men's Clay Court Championships
Monte Carlo,Clay,2014,Monte Carlo Masters
Barcelona,Clay,2014,Open Banco Sabadell
Bucharest,Clay,2014,BRD Nastase Tiriac Trophy
Munich,Clay,2014,BMW Open
Oeiras,Clay,2014,Portugal Open
Madrid,Clay,2014,Mutua Madrid Open
Rome,Clay,2014,Internazionali BNL d'Italia
Dusseldorf,Clay,2014,Dusseldorf Open
Nice,Clay,2014,Open de Nice Côte d’Azur
Paris,Clay,2014,French Open
Halle,Grass,2014,Gerry Weber Open
Queens Club,Grass,2014,AEGON Championships
Eastbourne,Grass,2014,AEGON International
's-Hertogenbosch,Grass,2014,Topshelf Open
London,Grass,2014,Wimbledon
Bastad,Clay,2014,SkiStar Swedish Open
Newport,Grass,2014,Hall of Fame Championships
Stuttgart,Clay,2014,Mercedes Cup
Bogota,Clay,2014,Claro Open Colombia
Hamburg,Clay,2014,bet-at-home Open
Atlanta,Hard,2014,BB&T Atlanta Open
Gstaad,Clay,2014,Crédit Agricole Suisse Open Gstaad
Umag,Clay,2014,ATP Vegeta Croatia Open
Kitzbuhel,Clay,2014,Bet-At-Home Cup
Washington,Hard,2014,Citi Open
Toronto,Hard,2014,Rogers Masters
Cincinnati,Hard,2014,Western & Southern Financial Group Masters
Winston-Salem,Hard,2014,Winston-Salem Open at Wake Forest University
New York,Hard,2014,US Open
Metz,Hard,2014,Open de Moselle
Kuala Lumpur,Hard,2014,Malaysian Open
Shenzhen ,Hard,2014,Shenzhen Open
Beijing,Hard,2014,China Open
Tokyo,Hard,2014,Rakuten Japan Open Tennis Championships
Shanghai,Hard,2014,Shanghai Masters
Moscow,Hard,2014,Kremlin Cup
Stockholm,Hard,2014,Stockholm Open
Vienna,Hard,2014,Erste Bank Open
Basel,Hard,2014,Swiss Indoors
Valencia,Hard,2014,Valencia Open 500
Paris,Hard,2014,BNP Paribas Masters
London,Hard,2014,Masters Cup
Brisbane,Hard,2015,Brisbane International
Chennai,Hard,2015,Chennai Open
Doha,Hard,2015,Qatar Exxon Mobil Open
Auckland,Hard,2015,Heineken Open
Sydney,Hard,2015,Apia International
Melbourne,Hard,2015,Australian Open
Montpellier,Hard,2015,Open Sud de France
Quito,Clay,2015,Ecuador Open
Zagreb,Hard,2015,PBZ Zagreb Indoors
Memphis,Hard,2015,Memphis Open
Rotterdam,Hard,2015,ABN AMRO World Tennis Tournament
Sao Paulo,Clay,2015,Brasil Open
Delray Beach,Hard,2015,Delray Beach Open
Marseille,Hard,2015,Open 13
Rio de Janeiro,Clay,2015,Rio Open
Acapulco,Hard,2015,Abierto Mexicano
Buenos Aires,Clay,2015,Argentina Open
Dubai ,Hard,2015,Dubai Tennis Championships
Indian Wells,Hard,2015,BNP Paribas Open
Miami,Hard,2015,Sony Ericsson Open
Casablanca,Clay,2015,Grand Prix Hassan II
Houston,Clay,2015,U.S. Men's Clay Court Championships
Monte Carlo,Clay,2015,Monte Carlo Masters
Barcelona,Clay,2015,Open Banco Sabadell
Bucharest,Clay,2015,BRD Nastase Tiriac Trophy
Estoril,Clay,2015,Millenium Estoril Open
Istanbul,Clay,2015,Istanbul Open
Munich,Clay,2015,BMW Open
Madrid,Clay,2015,Mutua Madrid Open
Rome,Clay,2015,Internazionali BNL d'Italia
Geneva,Clay,2015,Geneva Open
Nice,Clay,2015,Open de Nice Côte d’Azur
Paris,Clay,2015,French Open
's-Hertogenbosch,Grass,2015,Topshelf Open
Stuttgart,Grass,2015,Mercedes Cup
Halle,Grass,2015,Gerry Weber Open
Queens Club,Grass,2015,AEGON Championships
Nottingham,Grass,2015,AEGON Open
London,Grass,2015,Wimbledon
Newport,Grass,2015,Hall of Fame Championships
Bastad,Clay,2015,SkiStar Swedish Open
Bogota,Clay,2015,Claro Open Colombia
Umag,Clay,2015,Konzum Croatia Open
Atlanta,Hard,2015,BB&T Atlanta Open
Gstaad,Clay,2015,Suisse Open Gstaad
Hamburg,Clay,2015,bet-at-home Open
Kitzbuhel,Clay,2015,Generali Open
Washington,Hard,2015,Citi Open
Montreal,Hard,2015,Rogers Masters
Cincinnati,Hard,2015,Western & Southern Financial Group Masters
Winston-Salem,Hard,2015,Winston-Salem Open at Wake Forest University
New York,Hard,2015,US Open
Metz,Hard,2015,Open de Moselle
St. Petersburg,Hard,2015,St. Petersburg Open
Kuala Lumpur,Hard,2015,Malaysian Open
Shenzhen ,Hard,2015,Shenzhen Open
Beijing,Hard,2015,China Open
Tokyo,Hard,2015,Rakuten Japan Open Tennis Championships
Shanghai,Hard,2015,Shanghai Masters
Moscow,Hard,2015,Kremlin Cup
Stockholm,Hard,2015,Stockholm Open
Vienna,Hard,2015,Erste Bank Open
Basel,Hard,2015,Swiss Indoors
Valencia,Hard,2015,Valencia Open 500
Paris,Hard,2015,BNP Paribas Masters
London,Hard,2015,Masters Cup
Brisbane,Hard,2016,Brisbane International
Chennai,Hard,2016,Chennai Open
Doha,Hard,2016,Qatar Exxon Mobil Open
Auckland,Hard,2016,ASB Classic
Sydney,Hard,2016,Apia International
Melbourne,Hard,2016,Australian Open
Montpellier,Hard,2016,Open Sud de France
Quito,Clay,2016,Ecuador Open
Sofia,Hard,2016,Garanti Koza Sofia Open
Buenos Aires,Clay,2016,Argentina Open
Memphis,Hard,2016,Memphis Open
Rotterdam,Hard,2016,ABN AMRO World Tennis Tournament
Delray Beach,Hard,2016,Delray Beach Open
Marseille,Hard,2016,Open 13
Rio de Janeiro,Clay,2016,Rio Open
Acapulco,Hard,2016,Abierto Mexicano
Dubai ,Hard,2016,Dubai Tennis Championships
Sao Paulo,Clay,2016,Brasil Open
Indian Wells,Hard,2016,BNP Paribas Open
