Tournament,Data,Winner,Loser,AvgW,AvgL,Round,Wsets,Lsets,Year
Sydney International,1/6/2019,Klizan M.,Popyrin A.,1.68,2.18,1st Round,2.0,1.0,2019
Sydney International,1/6/2019,Thompson J.,Mannarino A.,1.63,2.28,1st Round,2.0,0.0,2019
Sydney International,1/7/2019,Querrey S.,Jaziri M.,1.36,3.16,1st Round,1.0,0.0,2019
Sydney International,1/7/2019,Opelka R.,Ramos-Vinolas A.,1.59,2.36,1st Round,2.0,0.0,2019
Sydney International,1/7/2019,De Minaur A.,Lajovic D.,1.29,3.59,1st Round,2.0,0.0,2019
Sydney International,1/7/2019,Andreozzi G.,Ebden M.,4.2,1.22,1st Round,2.0,1.0,2019
Sydney International,1/7/2019,Nishioka Y.,Harrison R.,1.72,2.13,1st Round,2.0,0.0,2019
Sydney International,1/8/2019,Seppi A.,Chardy J.,2.43,1.56,1st Round,2.0,1.0,2019
Sydney International,1/8/2019,Garcia-Lopez G.,Kudla D.,2.07,1.76,1st Round,2.0,0.0,2019
Sydney International,1/8/2019,Rublev A.,Pouille L.,1.53,2.5,1st Round,2.0,0.0,2019
Sydney International,1/8/2019,Millman J.,Tiafoe F.,1.61,2.33,1st Round,2.0,1.0,2019
Sydney International,1/8/2019,Fucsovics M.,Duckworth J.,1.36,3.15,1st Round,2.0,1.0,2019
Sydney International,1/8/2019,Thompson J.,Daniel T.,1.47,2.69,2nd Round,2.0,1.0,2019
Sydney International,1/9/2019,Nishioka Y.,Rublev A.,2.4,1.57,2nd Round,2.0,0.0,2019
Sydney International,1/9/2019,De Minaur A.,Opelka R.,1.17,5.39,2nd Round,2.0,0.0,2019
Sydney International,1/9/2019,Schwartzman D.,Garcia-Lopez G.,1.58,2.4,2nd Round,2.0,0.0,2019
Sydney International,1/9/2019,Seppi A.,Klizan M.,1.81,2.0,2nd Round,2.0,0.0,2019
Sydney International,1/9/2019,Tsitsipas S.,Andreozzi G.,1.14,5.64,2nd Round,2.0,0.0,2019
Sydney International,1/9/2019,Millman J.,Fucsovics M.,2.07,1.76,2nd Round,2.0,0.0,2019
Sydney International,1/9/2019,Simon G.,Querrey S.,1.93,1.88,2nd Round,2.0,1.0,2019
Sydney International,1/10/2019,Seppi A.,Tsitsipas S.,3.49,1.31,Quarterfinals,2.0,1.0,2019
Sydney International,1/10/2019,Schwartzman D.,Nishioka Y.,1.74,2.11,Quarterfinals,2.0,1.0,2019
Sydney International,1/10/2019,De Minaur A.,Thompson J.,1.29,3.6,Quarterfinals,2.0,0.0,2019
Sydney International,1/10/2019,Simon G.,Millman J.,1.8,2.02,Quarterfinals,2.0,1.0,2019
Sydney International,1/11/2019,Seppi A.,Schwartzman D.,2.63,1.5,Semifinals,2.0,0.0,2019
Sydney International,1/12/2019,De Minaur A.,Simon G.,1.42,2.91,Semifinals,2.0,0.0,2019
Sydney International,1/12/2019,De Minaur A.,Seppi A.,1.36,3.22,The Final,2.0,0.0,2019
Australian Open,1/14/2019,Anderson K.,Mannarino A.,1.06,9.96,1st Round,3.0,1.0,2019
Australian Open,1/14/2019,Basilashvili N.,Eubanks C.,1.23,4.28,1st Round,3.0,1.0,2019
Australian Open,1/14/2019,Albot R.,Mmoh M.,2.14,1.72,1st Round,3.0,1.0,2019
Australian Open,1/14/2019,Travaglia S.,Andreozzi G.,1.44,2.82,1st Round,3.0,1.0,2019
Australian Open,1/14/2019,Verdasco F.,Kecmanovic M.,1.47,2.72,1st Round,3.0,0.0,2019
Australian Open,1/14/2019,Cuevas P.,Lajovic D.,3.11,1.38,1st Round,3.0,0.0,2019
Australian Open,1/14/2019,Haase R.,Garcia-Lopez G.,2.08,1.76,1st Round,3.0,0.0,2019
Australian Open,1/14/2019,Tsitsipas S.,Berrettini M.,1.4,3.0,1st Round,3.0,1.0,2019
Australian Open,1/14/2019,Dimitrov G.,Tipsarevic J.,1.06,9.97,1st Round,3.0,1.0,2019
Australian Open,1/14/2019,Tiafoe F.,Gunneswaran P.,1.3,3.61,1st Round,3.0,0.0,2019
Australian Open,1/14/2019,Nadal R.,Duckworth J.,1.04,11.64,1st Round,3.0,0.0,2019
Australian Open,1/14/2019,Fabbiano T.,Kubler J.,2.04,1.79,1st Round,3.0,1.0,2019
Australian Open,1/14/2019,Opelka R.,Isner J.,2.75,1.46,1st Round,3.0,1.0,2019
Australian Open,1/14/2019,Schwartzman D.,Molleker R.,1.13,6.2,1st Round,3.0,1.0,2019
Australian Open,1/14/2019,Evans D.,Ito T.,1.33,3.38,1st Round,3.0,0.0,2019
Australian Open,1/14/2019,Kudla D.,Polmans M.,1.27,3.84,1st Round,3.0,2.0,2019
Australian Open,1/14/2019,Khachanov K.,Gojowczyk P.,1.1,7.07,1st Round,3.0,1.0,2019
Australian Open,1/14/2019,De Minaur A.,Sousa P.,1.05,11.2,1st Round,3.0,0.0,2019
Australian Open,1/14/2019,Troicki V.,Carballes Baena R.,1.34,3.32,1st Round,3.0,2.0,2019
Australian Open,1/14/2019,Mcdonald M.,Rublev A.,3.46,1.32,1st Round,3.0,1.0,2019
Australian Open,1/14/2019,Laaksonen H.,Basic M.,1.81,2.01,1st Round,3.0,1.0,2019
Australian Open,1/14/2019,Berdych T.,Edmund K.,1.42,2.89,1st Round,3.0,0.0,2019
Australian Open,1/14/2019,Thompson J.,Lopez F.,1.31,3.49,1st Round,3.0,0.0,2019
Australian Open,1/14/2019,Ebden M.,Struff J.L.,2.37,1.6,1st Round,3.0,1.0,2019
Australian Open,1/14/2019,Seppi A.,Johnson S.,1.84,1.98,1st Round,3.0,1.0,2019
Australian Open,1/14/2019,Monfils G.,Dzumhur D.,1.54,2.52,1st Round,3.0,0.0,2019
Australian Open,1/14/2019,Nishioka Y.,Sandgren T.,1.77,2.07,1st Round,3.0,1.0,2019
Australian Open,1/14/2019,Millman J.,Delbonis F.,1.24,4.12,1st Round,3.0,1.0,2019
Australian Open,1/14/2019,Fritz T.,Norrie C.,2.0,1.82,1st Round,3.0,0.0,2019
Australian Open,1/14/2019,Bautista Agut R.,Murray A.,1.21,4.55,1st Round,3.0,2.0,2019
Australian Open,1/14/2019,Cilic M.,Tomic B.,1.25,4.0,1st Round,3.0,0.0,2019
Australian Open,1/14/2019,Federer R.,Istomin D.,1.02,14.98,1st Round,3.0,0.0,2019
Australian Open,1/15/2019,Fognini F.,Munar J.,1.45,2.79,1st Round,2.0,0.0,2019
Australian Open,1/15/2019,Ivashka I.,Jaziri M.,1.42,2.88,1st Round,2.0,1.0,2019
Australian Open,1/15/2019,Mayer L.,Jarry N.,1.81,2.02,1st Round,3.0,1.0,2019
Australian Open,1/15/2019,Nishikori K.,Majchrzak K.,1.02,15.25,1st Round,2.0,2.0,2019
Australian Open,1/15/2019,Herbert P.H.,Querrey S.,2.69,1.48,1st Round,3.0,1.0,2019
Australian Open,1/15/2019,Fucsovics M.,Ramos-Vinolas A.,1.2,4.66,1st Round,3.0,1.0,2019
Australian Open,1/15/2019,Harrison R.,Vesely J.,1.59,2.38,1st Round,3.0,0.0,2019
Australian Open,1/15/2019,Medvedev D.,Harris L.,1.17,5.11,1st Round,3.0,0.0,2019
Australian Open,1/15/2019,Karlovic I.,Hurkacz H.,1.79,2.05,1st Round,3.0,1.0,2019
Australian Open,1/15/2019,Coric B.,Darcis S.,1.16,5.37,1st Round,3.0,0.0,2019
Australian Open,1/15/2019,Chung H.,Klahn B.,1.52,2.54,1st Round,3.0,2.0,2019
Australian Open,1/15/2019,Bolt A.,Sock J.,3.17,1.36,1st Round,3.0,1.0,2019
Australian Open,1/15/2019,Sousa J.,Pella G.,1.77,2.07,1st Round,3.0,2.0,2019
Australian Open,1/15/2019,Carreno Busta P.,Vanni L.,1.28,3.74,1st Round,3.0,2.0,2019
Australian Open,1/15/2019,Donskoy E.,Djere L.,2.0,1.83,1st Round,3.0,1.0,2019
Australian Open,1/15/2019,Simon G.,Fratangelo B.,1.24,4.08,1st Round,3.0,0.0,2019
Australian Open,1/15/2019,Zverev A.,Bedene A.,1.11,6.62,1st Round,3.0,0.0,2019
Australian Open,1/15/2019,Goffin D.,Garin C.,1.17,5.19,1st Round,3.0,0.0,2019
