Tournament,Data,Winner,Loser,AvgW,AvgL,Round,Wsets,Lsets,Year
Shanghai Masters,10/7/2014,Simon G.,Garcia-Lopez G.,1.39,2.9,1st Round,2.0,1.0,2014
Shanghai Masters,10/7/2014,Pospisil V.,Giraldo S.,1.4,2.87,1st Round,2.0,1.0,2014
Shanghai Masters,10/7/2014,Klizan M.,Groth S.,1.54,2.44,1st Round,2.0,0.0,2014
Shanghai Masters,10/7/2014,Wang C.,Fognini F.,10.39,1.04,1st Round,2.0,0.0,2014
Shanghai Masters,10/7/2014,Dodig I.,Cuevas P.,1.62,2.26,1st Round,2.0,0.0,2014
Shanghai Masters,10/7/2014,Janowicz J.,Roger-Vasselin E.,1.37,2.98,1st Round,2.0,1.0,2014
Shanghai Masters,10/7/2014,Murray A.,Gabashvili T.,1.05,9.6,1st Round,2.0,0.0,2014
Shanghai Masters,10/7/2014,Mayer L.,Wu D.,1.21,4.28,1st Round,2.0,0.0,2014
Shanghai Masters,10/7/2014,Karlovic I.,Lu Y.H.,1.78,2.0,2nd Round,2.0,0.0,2014
Shanghai Masters,10/7/2014,Kukushkin M.,Anderson K.,2.71,1.44,2nd Round,2.0,0.0,2014
Shanghai Masters,10/8/2014,Ferrer D.,Klizan M.,1.41,2.84,2nd Round,2.0,1.0,2014
Shanghai Masters,10/8/2014,Jaziri M.,Wang C.,1.17,4.88,2nd Round,2.0,0.0,2014
Shanghai Masters,10/8/2014,Simon G.,Wawrinka S.,2.42,1.55,2nd Round,2.0,1.0,2014
Shanghai Masters,10/8/2014,Youzhny M.,Dodig I.,1.75,2.03,2nd Round,2.0,1.0,2014
Shanghai Masters,10/8/2014,Bautista Agut R.,Pospisil V.,1.77,2.01,2nd Round,2.0,1.0,2014
Shanghai Masters,10/8/2014,Benneteau J.,Dimitrov G.,3.65,1.27,2nd Round,2.0,0.0,2014
Shanghai Masters,10/8/2014,Sock J.,Nishikori K.,3.83,1.25,2nd Round,2.0,0.0,2014
Shanghai Masters,10/8/2014,Murray A.,Janowicz J.,1.14,5.64,2nd Round,2.0,0.0,2014
Shanghai Masters,10/8/2014,Djokovic N.,Thiem D.,1.03,12.95,2nd Round,2.0,0.0,2014
Shanghai Masters,10/8/2014,Berdych T.,Gasquet R.,1.43,2.77,2nd Round,2.0,0.0,2014
Shanghai Masters,10/8/2014,Isner J.,Johnson S.,1.47,2.62,2nd Round,2.0,0.0,2014
Shanghai Masters,10/8/2014,Monaco J.,Raonic M.,5.5,1.14,2nd Round,0.0,0.0,2014
Shanghai Masters,10/8/2014,Lopez F.,Nadal R.,3.09,1.36,2nd Round,2.0,0.0,2014
Shanghai Masters,10/8/2014,Federer R.,Mayer L.,1.07,8.15,2nd Round,2.0,1.0,2014
Shanghai Masters,10/9/2014,Berdych T.,Karlovic I.,1.31,3.38,3rd Round,2.0,0.0,2014
Shanghai Masters,10/9/2014,Simon G.,Jaziri M.,1.18,4.69,3rd Round,2.0,0.0,2014
Shanghai Masters,10/9/2014,Ferrer D.,Murray A.,4.31,1.21,3rd Round,2.0,1.0,2014
Shanghai Masters,10/9/2014,Benneteau J.,Sock J.,1.82,1.96,3rd Round,2.0,0.0,2014
Shanghai Masters,10/9/2014,Youzhny M.,Monaco J.,1.75,2.04,3rd Round,2.0,1.0,2014
Shanghai Masters,10/9/2014,Djokovic N.,Kukushkin M.,1.02,14.53,3rd Round,2.0,1.0,2014
Shanghai Masters,10/9/2014,Lopez F.,Isner J.,2.04,1.76,3rd Round,2.0,0.0,2014
Shanghai Masters,10/9/2014,Federer R.,Bautista Agut R.,1.17,4.96,3rd Round,2.0,0.0,2014
Shanghai Masters,10/10/2014,Simon G.,Berdych T.,3.47,1.3,Quarterfinals,2.0,1.0,2014
Shanghai Masters,10/10/2014,Lopez F.,Youzhny M.,1.59,2.32,Quarterfinals,2.0,1.0,2014
Shanghai Masters,10/10/2014,Djokovic N.,Ferrer D.,1.11,6.36,Quarterfinals,2.0,0.0,2014
Shanghai Masters,10/10/2014,Federer R.,Benneteau J.,1.18,4.78,Quarterfinals,2.0,0.0,2014
Shanghai Masters,10/11/2014,Simon G.,Lopez F.,1.6,2.31,Semifinals,2.0,0.0,2014
Shanghai Masters,10/11/2014,Federer R.,Djokovic N.,3.24,1.34,Semifinals,2.0,0.0,2014
Shanghai Masters,10/12/2014,Federer R.,Simon G.,1.24,4.03,The Final,2.0,0.0,2014
Kremlin Cup,10/13/2014,Seppi A.,Lajovic D.,1.44,2.69,1st Round,2.0,0.0,2014
Kremlin Cup,10/13/2014,Krajinovic F.,Jaziri M.,1.76,2.03,1st Round,2.0,0.0,2014
Kremlin Cup,10/13/2014,Gimeno-Traver D.,Vesely J.,3.83,1.25,1st Round,2.0,0.0,2014
Kremlin Cup,10/13/2014,Bautista Agut R.,Kuznetsov An.,1.38,2.94,1st Round,2.0,0.0,2014
Kremlin Cup,10/14/2014,Dodig I.,Riba P.,1.12,6.09,1st Round,2.0,0.0,2014
Kremlin Cup,10/14/2014,Donskoy E.,Sela D.,2.17,1.66,1st Round,2.0,0.0,2014
Kremlin Cup,10/14/2014,Monaco J.,Lorenzi P.,1.29,3.46,1st Round,2.0,1.0,2014
Kremlin Cup,10/14/2014,Berankis R.,Karatsev A.,1.29,3.54,1st Round,2.0,0.0,2014
Kremlin Cup,10/14/2014,Groth S.,Rublev A.,1.29,3.45,1st Round,2.0,0.0,2014
Kremlin Cup,10/14/2014,Kukushkin M.,Khachanov K.,1.18,4.64,1st Round,2.0,1.0,2014
Kremlin Cup,10/15/2014,Robredo T.,Krstin P.,1.12,6.05,1st Round,2.0,0.0,2014
Kremlin Cup,10/15/2014,Youzhny M.,Baluda V.,1.09,6.85,1st Round,2.0,0.0,2014
Kremlin Cup,10/15/2014,Bautista Agut R.,Groth S.,1.27,3.65,2nd Round,2.0,0.0,2014
Kremlin Cup,10/15/2014,Seppi A.,Dodig I.,1.87,1.88,2nd Round,2.0,0.0,2014
Kremlin Cup,10/15/2014,Cilic M.,Donskoy E.,1.11,6.13,2nd Round,2.0,1.0,2014
Kremlin Cup,10/16/2014,Kukushkin M.,Fognini F.,1.43,2.76,2nd Round,2.0,0.0,2014
Kremlin Cup,10/16/2014,Robredo T.,Krajinovic F.,1.33,3.2,2nd Round,2.0,0.0,2014
Kremlin Cup,10/16/2014,Berankis R.,Raonic M.,5.78,1.13,2nd Round,2.0,1.0,2014
Kremlin Cup,10/16/2014,Gulbis E.,Gimeno-Traver D.,1.32,3.26,2nd Round,2.0,0.0,2014
Kremlin Cup,10/16/2014,Youzhny M.,Monaco J.,1.43,2.77,2nd Round,2.0,0.0,2014
Kremlin Cup,10/17/2014,Bautista Agut R.,Berankis R.,1.36,3.09,Quarterfinals,2.0,0.0,2014
Kremlin Cup,10/17/2014,Gulbis E.,Seppi A.,1.55,2.41,Quarterfinals,2.0,1.0,2014
Kremlin Cup,10/17/2014,Kukushkin M.,Youzhny M.,2.11,1.7,Quarterfinals,2.0,1.0,2014
Kremlin Cup,10/17/2014,Cilic M.,Robredo T.,1.5,2.52,Quarterfinals,2.0,0.0,2014
Kremlin Cup,10/18/2014,Bautista Agut R.,Gulbis E.,2.01,1.78,Semifinals,2.0,0.0,2014
Kremlin Cup,10/18/2014,Cilic M.,Kukushkin M.,1.31,3.39,Semifinals,2.0,1.0,2014
Kremlin Cup,10/19/2014,Cilic M.,Bautista Agut R.,1.38,2.99,The Final,2.0,0.0,2014
Stockholm Open,10/13/2014,Gabashvili T.,Falla A.,1.46,2.66,1st Round,2.0,0.0,2014
Stockholm Open,10/13/2014,Nieminen J.,Ramos-Vinolas A.,1.28,3.58,1st Round,2.0,0.0,2014
Stockholm Open,10/13/2014,Tomic B.,Rosenholm P.,1.09,7.02,1st Round,2.0,1.0,2014
Stockholm Open,10/14/2014,Mayer L.,Young D.,1.55,2.39,1st Round,2.0,0.0,2014
Stockholm Open,10/14/2014,Mannarino A.,Baghdatis M.,1.92,1.84,1st Round,2.0,1.0,2014
Stockholm Open,10/14/2014,Bachinger M.,Sijsling I.,1.8,1.96,1st Round,2.0,1.0,2014
Stockholm Open,10/14/2014,Copil M.,Sousa J.,2.24,1.62,1st Round,2.0,1.0,2014
Stockholm Open,10/14/2014,Verdasco F.,Matosevic M.,1.87,1.88,1st Round,2.0,1.0,2014
Stockholm Open,10/14/2014,Chardy J.,Ymer E.,1.18,4.6,1st Round,2.0,0.0,2014
Stockholm Open,10/15/2014,Herbert P.H.,Carreno Busta P.,1.6,2.29,1st Round,2.0,0.0,2014
Stockholm Open,10/15/2014,Sock J.,Golubev A.,1.58,2.32,1st Round,2.0,1.0,2014
Stockholm Open,10/15/2014,Brown D.,Lindell C.,1.19,4.44,1st Round,2.0,0.0,2014
Stockholm Open,10/15/2014,Tomic B.,Anderson K.,2.28,1.6,2nd Round,2.0,0.0,2014
Stockholm Open,10/15/2014,Verdasco F.,Nieminen J.,1.96,1.81,2nd Round,2.0,0.0,2014
Stockholm Open,10/15/2014,Dimitrov G.,Gabashvili T.,1.16,5.0,2nd Round,2.0,0.0,2014
Stockholm Open,10/16/2014,Copil M.,Herbert P.H.,2.22,1.63,2nd Round,2.0,0.0,2014
Stockholm Open,10/16/2014,Sock J.,Chardy J.,1.7,2.1,2nd Round,2.0,0.0,2014
Stockholm Open,10/16/2014,Bachinger M.,Mayer L.,3.27,1.32,2nd Round,2.0,1.0,2014
Stockholm Open,10/16/2014,Berdych T.,Brown D.,1.12,5.81,2nd Round,2.0,0.0,2014
Stockholm Open,10/16/2014,Mannarino A.,Dolgopolov O.,2.12,1.69,2nd Round,2.0,1.0,2014
Stockholm Open,10/17/2014,Tomic B.,Verdasco F.,2.06,1.74,Quarterfinals,2.0,1.0,2014
Stockholm Open,10/17/2014,Bachinger M.,Mannarino A.,2.07,1.73,Quarterfinals,2.0,1.0,2014
Stockholm Open,10/17/2014,Dimitrov G.,Sock J.,1.31,3.34,Quarterfinals,2.0,1.0,2014
Stockholm Open,10/17/2014,Berdych T.,Copil M.,1.1,6.74,Quarterfinals,2.0,0.0,2014
Stockholm Open,10/18/2014,Dimitrov G.,Tomic B.,1.31,3.38,Semifinals,2.0,0.0,2014
Stockholm Open,10/18/2014,Berdych T.,Bachinger M.,1.08,7.46,Semifinals,2.0,0.0,2014
Stockholm Open,10/19/2014,Berdych T.,Dimitrov G.,1.69,2.15,The Final,2.0,1.0,2014
Erste Bank Open,10/13/2014,Berlocq C.,Melzer G.,1.35,3.11,1st Round,2.0,0.0,2014
Erste Bank Open,10/14/2014,Struff J.L.,Garcia-Lopez G.,1.65,2.19,1st Round,2.0,0.0,2014
Erste Bank Open,10/14/2014,Bellucci T.,Mathieu P.H.,1.89,1.86,1st Round,2.0,0.0,2014
Erste Bank Open,10/14/2014,Becker B.,Hanescu V.,1.54,2.42,1st Round,2.0,1.0,2014
Erste Bank Open,10/14/2014,Karlovic I.,Delbonis F.,1.3,3.43,1st Round,2.0,1.0,2014
Erste Bank Open,10/14/2014,Troicki V.,Estrella Burgos V.,1.24,3.84,1st Round,2.0,0.0,2014
Erste Bank Open,10/14/2014,Melzer J.,Gombos N.,1.33,3.22,1st Round,2.0,1.0,2014
Erste Bank Open,10/14/2014,Pospisil V.,Brands D.,1.39,2.91,1st Round,2.0,1.0,2014
Erste Bank Open,10/14/2014,Haase R.,Thiem D.,2.73,1.43,1st Round,2.0,1.0,2014
Erste Bank Open,10/15/2014,Kamke T.,Bolelli S.,2.0,1.77,1st Round,2.0,1.0,2014
Erste Bank Open,10/15/2014,Rosol L.,Lacko L.,1.83,1.93,1st Round,2.0,0.0,2014
Erste Bank Open,10/15/2014,Stakhovsky S.,Mecir M.,1.43,2.74,1st Round,2.0,1.0,2014
Erste Bank Open,10/15/2014,Karlovic I.,Melzer J.,1.59,2.3,2nd Round,2.0,0.0,2014
Erste Bank Open,10/15/2014,Kohlschreiber P.,Berlocq C.,1.31,3.37,2nd Round,2.0,1.0,2014
Erste Bank Open,10/16/2014,Troicki V.,Rosol L.,1.61,2.26,2nd Round,2.0,0.0,2014
Erste Bank Open,10/16/2014,Becker B.,Haase R.,2.08,1.72,2nd Round,2.0,0.0,2014
Erste Bank Open,10/16/2014,Bellucci T.,Lopez F.,2.39,1.55,2nd Round,2.0,1.0,2014
Erste Bank Open,10/16/2014,Struff J.L.,Stakhovsky S.,1.6,2.29,2nd Round,2.0,1.0,2014
Erste Bank Open,10/16/2014,Ferrer D.,Kamke T.,1.16,5.09,2nd Round,2.0,0.0,2014
Erste Bank Open,10/16/2014,Murray A.,Pospisil V.,1.18,4.67,2nd Round,2.0,0.0,2014
Erste Bank Open,10/17/2014,Troicki V.,Bellucci T.,1.4,2.88,Quarterfinals,2.0,1.0,2014
Erste Bank Open,10/17/2014,Kohlschreiber P.,Becker B.,1.59,2.33,Quarterfinals,2.0,0.0,2014
Erste Bank Open,10/17/2014,Murray A.,Struff J.L.,1.09,7.08,Quarterfinals,2.0,0.0,2014
Erste Bank Open,10/17/2014,Ferrer D.,Karlovic I.,1.41,2.87,Quarterfinals,2.0,0.0,2014
Erste Bank Open,10/18/2014,Murray A.,Troicki V.,1.12,5.97,Semifinals,2.0,0.0,2014
Erste Bank Open,10/18/2014,Ferrer D.,Kohlschreiber P.,1.31,3.42,Semifinals,2.0,1.0,2014
Erste Bank Open,10/19/2014,Murray A.,Ferrer D.,1.31,3.4,The Final,2.0,1.0,2014
Swiss Indoors,10/20/2014,Young D.,Berlocq C.,1.66,2.18,1st Round,2.0,0.0,2014
Swiss Indoors,10/20/2014,Herbert P.H.,Roger-Vasselin E.,2.14,1.68,1st Round,2.0,1.0,2014
Swiss Indoors,10/20/2014,Nadal R.,Bolelli S.,1.21,4.24,1st Round,2.0,0.0,2014
Swiss Indoors,10/20/2014,Goffin D.,Thiem D.,1.36,3.04,1st Round,2.0,0.0,2014
Swiss Indoors,10/21/2014,De Schepper K.,Delbonis F.,1.62,2.25,1st Round,2.0,0.0,2014
Swiss Indoors,10/21/2014,Dodig I.,Chiudinelli M.,1.22,4.14,1st Round,2.0,1.0,2014
Swiss Indoors,10/21/2014,Becker B.,Elias G.,1.29,3.48,1st Round,2.0,0.0,2014
Swiss Indoors,10/21/2014,Raonic M.,Johnson S.,1.23,4.0,1st Round,2.0,0.0,2014
Swiss Indoors,10/21/2014,Karlovic I.,Rosol L.,1.49,2.55,1st Round,2.0,0.0,2014
Swiss Indoors,10/21/2014,Kukushkin M.,Wawrinka S.,3.31,1.31,1st Round,2.0,1.0,2014
Swiss Indoors,10/21/2014,Pospisil V.,Nieminen J.,1.65,2.17,1st Round,2.0,1.0,2014
Swiss Indoors,10/22/2014,Golubev A.,Gabashvili T.,2.2,1.64,1st Round,2.0,0.0,2014
Swiss Indoors,10/22/2014,Coric B.,Gulbis E.,2.77,1.42,1st Round,2.0,0.0,2014
Swiss Indoors,10/22/2014,Istomin D.,Janowicz J.,2.26,1.61,1st Round,2.0,0.0,2014
Swiss Indoors,10/22/2014,Federer R.,Muller G.,1.05,9.65,1st Round,2.0,0.0,2014
Swiss Indoors,10/22/2014,Dimitrov G.,Zverev A.,1.09,7.03,1st Round,2.0,1.0,2014
Swiss Indoors,10/22/2014,Goffin D.,Dodig I.,1.28,3.58,2nd Round,2.0,0.0,2014
Swiss Indoors,10/22/2014,Nadal R.,Herbert P.H.,1.08,7.66,2nd Round,2.0,0.0,2014
Swiss Indoors,10/23/2014,Coric B.,Golubev A.,2.05,1.73,2nd Round,2.0,0.0,2014
Swiss Indoors,10/23/2014,Becker B.,Kukushkin M.,2.38,1.56,2nd Round,1.0,1.0,2014
Swiss Indoors,10/23/2014,Raonic M.,Young D.,1.13,5.45,2nd Round,2.0,1.0,2014
Swiss Indoors,10/23/2014,Karlovic I.,De Schepper K.,1.39,2.92,2nd Round,2.0,1.0,2014
Swiss Indoors,10/23/2014,Federer R.,Istomin D.,1.04,11.11,2nd Round,2.0,1.0,2014
Swiss Indoors,10/23/2014,Dimitrov G.,Pospisil V.,1.61,2.27,2nd Round,2.0,0.0,2014
Swiss Indoors,10/24/2014,Goffin D.,Raonic M.,2.07,1.73,Quarterfinals,2.0,1.0,2014
Swiss Indoors,10/24/2014,Karlovic I.,Becker B.,1.58,2.33,Quarterfinals,2.0,0.0,2014
Swiss Indoors,10/24/2014,Coric B.,Nadal R.,6.0,1.12,Quarterfinals,2.0,0.0,2014
Swiss Indoors,10/24/2014,Federer R.,Dimitrov G.,1.24,3.91,Quarterfinals,2.0,0.0,2014
Swiss Indoors,10/25/2014,Goffin D.,Coric B.,1.25,3.92,Semifinals,2.0,1.0,2014
Swiss Indoors,10/25/2014,Federer R.,Karlovic I.,1.09,7.1,Semifinals,2.0,1.0,2014
Swiss Indoors,10/26/2014,Federer R.,Goffin D.,1.18,4.73,The Final,2.0,0.0,2014
Valencia Open 500,10/20/2014,Lu Y.H.,Garcia-Lopez G.,2.09,1.7,1st Round,2.0,0.0,2014
Valencia Open 500,10/20/2014,Carreno Busta P.,Granollers M.,3.04,1.37,1st Round,1.0,0.0,2014
Valencia Open 500,10/20/2014,Klizan M.,Kozlov S.,1.16,4.94,1st Round,2.0,0.0,2014
Valencia Open 500,10/21/2014,Robredo T.,Isner J.,1.79,1.99,1st Round,2.0,0.0,2014
Valencia Open 500,10/21/2014,Lajovic D.,Sousa J.,2.49,1.51,1st Round,2.0,0.0,2014
Valencia Open 500,10/21/2014,Lopez F.,Gombos N.,1.32,3.3,1st Round,2.0,0.0,2014
Valencia Open 500,10/21/2014,Dolgopolov O.,Simon G.,2.74,1.43,1st Round,2.0,0.0,2014
Valencia Open 500,10/21/2014,Chardy J.,Jaziri M.,1.36,3.05,1st Round,2.0,0.0,2014
Valencia Open 500,10/21/2014,Verdasco F.,Mayer L.,1.62,2.24,1st Round,2.0,1.0,2014
Valencia Open 500,10/21/2014,Anderson K.,Kohlschreiber P.,2.07,1.72,1st Round,2.0,0.0,2014
Valencia Open 500,10/21/2014,Fognini F.,Ramos-Vinolas A.,1.74,2.04,1st Round,2.0,0.0,2014
Valencia Open 500,10/22/2014,Andujar P.,Berdych T.,6.74,1.1,1st Round,2.0,0.0,2014
Valencia Open 500,10/22/2014,Bellucci T.,Youzhny M.,2.14,1.68,1st Round,2.0,0.0,2014
Valencia Open 500,10/22/2014,Murray A.,Melzer J.,1.08,7.31,1st Round,2.0,0.0,2014
Valencia Open 500,10/22/2014,Bautista Agut R.,Giraldo S.,1.24,3.89,1st Round,2.0,0.0,2014
Valencia Open 500,10/22/2014,Ferrer D.,Seppi A.,1.2,4.3,1st Round,2.0,0.0,2014
Valencia Open 500,10/22/2014,Carreno Busta P.,Lopez F.,3.21,1.33,2nd Round,2.0,0.0,2014
Valencia Open 500,10/22/2014,Robredo T.,Lu Y.H.,1.41,2.82,2nd Round,2.0,0.0,2014
Valencia Open 500,10/23/2014,Anderson K.,Klizan M.,1.28,3.51,2nd Round,,,2014
Valencia Open 500,10/23/2014,Andujar P.,Lajovic D.,1.48,2.58,2nd Round,2.0,0.0,2014
Valencia Open 500,10/23/2014,Chardy J.,Dolgopolov O.,2.21,1.64,2nd Round,2.0,1.0,2014
Valencia Open 500,10/23/2014,Murray A.,Fognini F.,1.11,6.37,2nd Round,2.0,0.0,2014
Valencia Open 500,10/23/2014,Bellucci T.,Bautista Agut R.,2.92,1.39,2nd Round,,,2014
Valencia Open 500,10/23/2014,Ferrer D.,Verdasco F.,1.29,3.47,2nd Round,2.0,0.0,2014
Valencia Open 500,10/24/2014,Murray A.,Anderson K.,1.13,5.8,Quarterfinals,2.0,1.0,2014
Valencia Open 500,10/24/2014,Ferrer D.,Bellucci T.,1.14,5.37,Quarterfinals,2.0,0.0,2014
Valencia Open 500,10/24/2014,Chardy J.,Carreno Busta P.,1.56,2.4,Quarterfinals,2.0,0.0,2014
Valencia Open 500,10/24/2014,Robredo T.,Andujar P.,1.37,3.02,Quarterfinals,2.0,0.0,2014
Valencia Open 500,10/25/2014,Murray A.,Ferrer D.,1.68,2.17,Semifinals,2.0,0.0,2014
Valencia Open 500,10/25/2014,Robredo T.,Chardy J.,1.47,2.64,Semifinals,2.0,0.0,2014
Valencia Open 500,10/26/2014,Murray A.,Robredo T.,1.23,4.05,The Final,2.0,1.0,2014
BNP Paribas Masters,10/27/2014,Giraldo S.,Youzhny M.,2.75,1.43,1st Round,2.0,0.0,2014
BNP Paribas Masters,10/27/2014,Thiem D.,Dolgopolov O.,2.18,1.66,1st Round,2.0,1.0,2014
BNP Paribas Masters,10/27/2014,Mannarino A.,Herbert P.H.,1.58,2.33,1st Round,2.0,0.0,2014
BNP Paribas Masters,10/27/2014,Querrey S.,Janowicz J.,1.39,2.92,1st Round,2.0,1.0,2014
BNP Paribas Masters,10/27/2014,Verdasco F.,Young D.,1.71,2.1,1st Round,2.0,1.0,2014
BNP Paribas Masters,10/27/2014,Kohlschreiber P.,Roger-Vasselin E.,1.36,3.05,1st Round,2.0,0.0,2014
BNP Paribas Masters,10/27/2014,Sock J.,Andujar P.,1.39,2.97,1st Round,2.0,0.0,2014
BNP Paribas Masters,10/27/2014,Melzer J.,Garcia-Lopez G.,1.73,2.05,1st Round,2.0,0.0,2014
BNP Paribas Masters,10/27/2014,Gasquet R.,Istomin D.,1.41,2.81,1st Round,1.0,1.0,2014
BNP Paribas Masters,10/27/2014,Benneteau J.,Lu Y.H.,1.38,2.97,1st Round,2.0,0.0,2014
BNP Paribas Masters,10/28/2014,Chardy J.,De Schepper K.,1.43,2.75,1st Round,2.0,0.0,2014
BNP Paribas Masters,10/28/2014,Cuevas P.,Mayer L.,3.03,1.36,1st Round,1.0,0.0,2014
BNP Paribas Masters,10/28/2014,Robredo T.,Pospisil V.,1.96,1.81,1st Round,2.0,1.0,2014
BNP Paribas Masters,10/28/2014,Goffin D.,Rosol L.,1.35,3.11,1st Round,2.0,0.0,2014
BNP Paribas Masters,10/28/2014,Monfils G.,Sousa J.,1.36,3.03,1st Round,2.0,0.0,2014
BNP Paribas Masters,10/28/2014,Pouille L.,Karlovic I.,3.06,1.36,1st Round,2.0,0.0,2014
BNP Paribas Masters,10/28/2014,Verdasco F.,Simon G.,2.59,1.48,2nd Round,2.0,1.0,2014
BNP Paribas Masters,10/28/2014,Anderson K.,Giraldo S.,1.34,3.18,2nd Round,2.0,0.0,2014
BNP Paribas Masters,10/28/2014,Djokovic N.,Kohlschreiber P.,1.14,5.61,2nd Round,2.0,0.0,2014
BNP Paribas Masters,10/28/2014,Berdych T.,Mannarino A.,1.16,4.96,2nd Round,2.0,1.0,2014
BNP Paribas Masters,10/29/2014,Raonic M.,Sock J.,1.41,2.83,2nd Round,2.0,1.0,2014
BNP Paribas Masters,10/29/2014,Wawrinka S.,Thiem D.,1.41,2.84,2nd Round,2.0,0.0,2014
BNP Paribas Masters,10/29/2014,Bautista Agut R.,Gasquet R.,2.35,1.58,2nd Round,2.0,0.0,2014
BNP Paribas Masters,10/29/2014,Ferrer D.,Goffin D.,1.5,2.54,2nd Round,2.0,1.0,2014
BNP Paribas Masters,10/29/2014,Murray A.,Benneteau J.,1.32,3.3,2nd Round,2.0,0.0,2014
BNP Paribas Masters,10/29/2014,Lopez F.,Querrey S.,2.28,1.61,2nd Round,2.0,0.0,2014
BNP Paribas Masters,10/29/2014,Federer R.,Chardy J.,1.08,7.53,2nd Round,2.0,1.0,2014
BNP Paribas Masters,10/29/2014,Dimitrov G.,Cuevas P.,1.15,5.14,2nd Round,2.0,0.0,2014
BNP Paribas Masters,10/29/2014,Pouille L.,Fognini F.,1.78,1.99,2nd Round,2.0,0.0,2014
BNP Paribas Masters,10/29/2014,Tsonga J.W.,Melzer J.,1.22,4.14,2nd Round,2.0,1.0,2014
BNP Paribas Masters,10/29/2014,Nishikori K.,Robredo T.,1.24,3.93,2nd Round,2.0,1.0,2014
BNP Paribas Masters,10/29/2014,Monfils G.,Isner J.,1.61,2.27,2nd Round,2.0,0.0,2014
BNP Paribas Masters,10/30/2014,Berdych T.,Lopez F.,1.28,3.61,3rd Round,2.0,0.0,2014
BNP Paribas Masters,10/30/2014,Anderson K.,Wawrinka S.,2.47,1.53,3rd Round,2.0,1.0,2014
BNP Paribas Masters,10/30/2014,Ferrer D.,Verdasco F.,1.24,3.91,3rd Round,2.0,0.0,2014
BNP Paribas Masters,10/30/2014,Murray A.,Dimitrov G.,1.49,2.58,3rd Round,2.0,0.0,2014
BNP Paribas Masters,10/30/2014,Raonic M.,Bautista Agut R.,1.58,2.35,3rd Round,2.0,0.0,2014
BNP Paribas Masters,10/30/2014,Nishikori K.,Tsonga J.W.,1.59,2.31,3rd Round,2.0,1.0,2014
BNP Paribas Masters,10/30/2014,Federer R.,Pouille L.,1.06,9.13,3rd Round,2.0,0.0,2014
BNP Paribas Masters,10/30/2014,Djokovic N.,Monfils G.,1.16,5.18,3rd Round,2.0,0.0,2014
BNP Paribas Masters,10/31/2014,Berdych T.,Anderson K.,1.24,3.98,Quarterfinals,2.0,1.0,2014
BNP Paribas Masters,10/31/2014,Raonic M.,Federer R.,3.72,1.27,Quarterfinals,2.0,0.0,2014
BNP Paribas Masters,10/31/2014,Djokovic N.,Murray A.,1.35,3.19,Quarterfinals,2.0,0.0,2014
BNP Paribas Masters,10/31/2014,Nishikori K.,Ferrer D.,1.64,2.23,Quarterfinals,2.0,1.0,2014
BNP Paribas Masters,11/1/2014,Raonic M.,Berdych T.,1.74,2.09,Semifinals,2.0,1.0,2014
BNP Paribas Masters,11/1/2014,Djokovic N.,Nishikori K.,1.2,4.56,Semifinals,2.0,0.0,2014
BNP Paribas Masters,11/2/2014,Djokovic N.,Raonic M.,1.17,4.99,The Final,2.0,0.0,2014
Masters Cup,11/9/2014,Nishikori K.,Murray A.,2.8,1.43,Round Robin,2.0,0.0,2014
Masters Cup,11/9/2014,Federer R.,Raonic M.,1.33,3.3,Round Robin,2.0,0.0,2014
Masters Cup,11/10/2014,Wawrinka S.,Berdych T.,2.15,1.7,Round Robin,2.0,0.0,2014
Masters Cup,11/10/2014,Djokovic N.,Cilic M.,1.13,6.03,Round Robin,2.0,0.0,2014
Masters Cup,11/11/2014,Federer R.,Nishikori K.,1.44,2.76,Round Robin,2.0,0.0,2014
Masters Cup,11/11/2014,Murray A.,Raonic M.,1.5,2.59,Round Robin,2.0,0.0,2014
Masters Cup,11/12/2014,Berdych T.,Cilic M.,2.09,1.74,Round Robin,2.0,0.0,2014
Masters Cup,11/12/2014,Djokovic N.,Wawrinka S.,1.15,5.37,Round Robin,2.0,0.0,2014
Masters Cup,11/13/2014,Nishikori K.,Ferrer D.,1.57,2.38,Round Robin,2.0,1.0,2014
Masters Cup,11/13/2014,Federer R.,Murray A.,1.44,2.77,Round Robin,2.0,0.0,2014
Masters Cup,11/14/2014,Djokovic N.,Berdych T.,1.07,8.78,Round Robin,2.0,0.0,2014
Masters Cup,11/14/2014,Wawrinka S.,Cilic M.,1.32,3.38,Round Robin,2.0,1.0,2014
Masters Cup,11/15/2014,Djokovic N.,Nishikori K.,1.08,7.84,Semifinals,2.0,1.0,2014
Masters Cup,11/15/2014,Federer R.,Wawrinka S.,1.14,5.58,Semifinals,2.0,1.0,2014
Masters Cup,11/16/2014,Djokovic N.,Federer R.,1.27,3.79,The Final,,,2014
Brisbane International,12/31/2012,Mayer F.,Giraldo S.,1.42,2.78,1st Round,2.0,0.0,2012
Brisbane International,12/31/2012,Nieminen J.,Benneteau J.,1.73,2.05,1st Round,2.0,1.0,2012
Brisbane International,12/31/2012,Nishikori K.,Matosevic M.,1.28,3.58,1st Round,2.0,0.0,2012
Brisbane International,12/31/2012,Baghdatis M.,Mitchell B.,1.08,7.76,1st Round,2.0,0.0,2012
Brisbane International,1/1/2013,Istomin D.,Klizan M.,1.88,1.85,1st Round,2.0,0.0,2013
