Player1,Player2
Medvedev D.,Goffin D.
Nishikori K.,Sousa J.
Carreno Busta P.,Fognini F.
Raonic M.,Herbert P.H.
Djokovic N.,Shapovalov D.
Coric B.,Krajinovic F.
Zverev A.,Bolt A.
Pouille L.,Popyrin A.
Tiafoe F.,Dimitrov G.
Nadal R.,Berdych T.
Bautista Agut R.,Cilic M.
Tsitsipas S.,Federer R.
Raonic M.,Zverev A.
Pouille L.,Coric B.
Nishikori K.,Carreno Busta P.
Djokovic N.,Medvedev D.
Tsitsipas S.,Bautista Agut R.
Nadal R.,Tiafoe F.
Pouille L.,Raonic M.
Djokovic N.,Nishikori K.
Nadal R.,Tsitsipas S.
Djokovic N.,Pouille L.
Djokovic N.,Nadal R.
Sonego L.,Andujar P.
Bedene A.,Marterer M.
Cachin P.,Norrie C.
Pella G.,Lorenzi P.
Jaziri M.,Berlocq C.
Giannessi A.,Seyboth Wild T.
Carballes Baena R.,Martin A.
Londero J.I.,Jarry N.
Cuevas P.,Bagnis F.
Munar J.,Andreozzi G.
Ramos-Vinolas A.,Dellien H.
Delbonis F.,Mayer L.
Londero J.I.,Sonego L.
Cachin P.,Carreno Busta P.
Munar J.,Cecchinato M.
Delbonis F.,Carballes Baena R.
Cuevas P.,Jaziri M.
Bedene A.,Fognini F.
Schwartzman D.,Giannessi A.
Pella G.,Ramos-Vinolas A.
Delbonis F.,Munar J.
Londero J.I.,Cachin P.
Pella G.,Schwartzman D.
Cuevas P.,Bedene A.
Londero J.I.,Delbonis F.
Pella G.,Cuevas P.
Londero J.I.,Pella G.
Granollers M.,Karlovic I.
Tsonga J.W.,Humbert U.
Chardy J.,Menendez-Maceiras A.
Gulbis E.,Hurkacz H.
Hoang A.,Darcis S.
Krajinovic F.,Mahut N.
Berdych T.,Bachinger M.
Paire B.,Donskoy E.
Herbert P.H.,Kudla D.
Baghdatis M.,Bemelmans R.
Ivashka I.,Fabbiano T.
Albot R.,Kohlschreiber P.
Chardy J.,Hoang A.
Berdych T.,Paire B.
Tsonga J.W.,Simon G.
Krajinovic F.,Goffin D.
Shapovalov D.,Granollers M.
Albot R.,Gulbis E.
Herbert P.H.,Ivashka I.
Baghdatis M.,Pouille L.
Berdych T.,Krajinovic F.
Herbert P.H.,Shapovalov D.
Albot R.,Baghdatis M.
Tsonga J.W.,Chardy J.
Herbert P.H.,Berdych T.
Tsonga J.W.,Albot R.
Tsonga J.W.,Herbert P.H.
Ebden M.,Andreev A.
Copil M.,Wawrinka S.
Brands D.,Basilashvili N.
Maden Y.,Mannarino A.
Struff J.L.,Travaglia S.
Berrettini M.,Istomin D.
Haase R.,Kuzmanov D.
Monfils G.,Troicki V.
Klizan M.,Basic M.
Kukushkin M.,Djere L.
Verdasco F.,Lazarov A.
Fucsovics M.,Seppi A.
Bautista Agut R.,Ebden M.
Berrettini M.,Khachanov K.
Klizan M.,Brands D.
Fucsovics M.,Maden Y.
Verdasco F.,Copil M.
Medvedev D.,Haase R.
Monfils G.,Kukushkin M.
Tsitsipas S.,Struff J.L.
Fucsovics M.,Bautista Agut R.
Berrettini M.,Verdasco F.
Medvedev D.,Klizan M.
Monfils G.,Tsitsipas S.
Fucsovics M.,Berrettini M.
Medvedev D.,Monfils G.
Medvedev D.,Fucsovics M.
Sonego L.,Jarry N.
Ramos-Vinolas A.,Dutra Silva R.
Marterer M.,Bagnis F.
Garin C.,Auger-Aliassime F.
Cuevas P.,Arevalo M.
Carballes Baena R.,Daniel T.
Mayer L.,Lajovic D.
Bedene A.,Andreozzi G.
Pella G.,Cerundolo F.
Munar J.,Delbonis F.
Sousa J.,Londero J.I.
Ferrer D.,Jaziri M.
Carballes Baena R.,Sonego L.
Pella G.,Mayer L.
Cecchinato M.,Garin C.
Munar J.,Fognini F.
Cuevas P.,Sousa J.
Ramos-Vinolas A.,Ferrer D.
Thiem D.,Marterer M.
Schwartzman D.,Bedene A.
Cecchinato M.,Carballes Baena R.
Pella G.,Munar J.
Thiem D.,Cuevas P.
Schwartzman D.,Ramos-Vinolas A.
