Player1,Player2
Norrie C.,Fucsovics M.
Fognini F.,Simon G.
Fritz T.,Schwartzman D.
Zverev A.,Auger-Aliassime F.
Dimitrov G.,Struff J.L.
Nadal R.,Bautista Agut R.
Thiem D.,Klizan M.
Lajovic D.,Goffin D.
Medvedev D.,Tsitsipas S.
Pella G.,Cecchinato M.
Djokovic N.,Fritz T.
Sonego L.,Norrie C.
Nadal R.,Dimitrov G.
Lajovic D.,Thiem D.
Fognini F.,Zverev A.
Coric B.,Herbert P.H.
Lajovic D.,Sonego L.
Medvedev D.,Djokovic N.
Nadal R.,Pella G.
Fognini F.,Coric B.
Lajovic D.,Medvedev D.
Fognini F.,Nadal R.
Fognini F.,Lajovic D.
Mayer L.,Copil M.
Fucsovics M.,Kudla D.
Mcdonald M.,Daniel T.
Struff J.L.,Dellien H.
Munar J.,Sousa P.
Fritz T.,Opelka R.
Verdasco F.,Lopez F.
Jarry N.,Granollers M.
Schwartzman D.,Nishioka Y.
Paire B.,Londero J.I.
Kuhn N.,Delbonis F.
Jaziri M.,Andreozzi G.
Ferrer D.,Zverev M.
Ramos-Vinolas A.,Norrie C.
Garin C.,Klizan M.
Pella G.,Sousa J.
Nishikori K.,Fritz T.
Jarry N.,Zverev A.
Munar J.,Tiafoe F.
Struff J.L.,Goffin D.
Thiem D.,Schwartzman D.
Tsitsipas S.,Fucsovics M.
Auger-Aliassime F.,Jaziri M.
Medvedev D.,Ramos-Vinolas A.
Mcdonald M.,Simon G.
Ferrer D.,Pouille L.
Carballes Baena R.,Kuhn N.
Nadal R.,Mayer L.
Pella G.,Khachanov K.
Paire B.,Carreno Busta P.
Dimitrov G.,Verdasco F.
Garin C.,Shapovalov D.
Medvedev D.,Mcdonald M.
Nishikori K.,Auger-Aliassime F.
Thiem D.,Munar J.
Jarry N.,Dimitrov G.
Nadal R.,Ferrer D.
Carballes Baena R.,Garin C.
Struff J.L.,Tsitsipas S.
Pella G.,Paire B.
Medvedev D.,Jarry N.
Nishikori K.,Carballes Baena R.
Nadal R.,Struff J.L.
Thiem D.,Pella G.
Medvedev D.,Nishikori K.
Thiem D.,Nadal R.
Thiem D.,Medvedev D.
Berrettini M.,Kukushkin M.
Bedene A.,Tomic B.
Krajinovic F.,Seppi A.
Albot R.,Stakhovsky S.
Gojowczyk P.,Harris L.
Millman J.,Kecmanovic M.
Herbert P.H.,Gerasimov E.
Balazs A.,Hurkacz H.
Haase R.,Fabbiano T.
Djere L.,Gulbis E.
Cuevas P.,Maden Y.
Sinner J.,Valkusz M.
Balazs A.,Millman J.
Herbert P.H.,Bachinger M.
Krajinovic F.,Albot R.
Coric B.,Haase R.
Berrettini M.,Bedene A.
Basilashvili N.,Gojowczyk P.
Cuevas P.,Cilic M.
Djere L.,Sinner J.
Krajinovic F.,Coric B.
Herbert P.H.,Balazs A.
Berrettini M.,Cuevas P.
Djere L.,Basilashvili N.
Krajinovic F.,Herbert P.H.
Berrettini M.,Djere L.
Berrettini M.,Krajinovic F.
Andreozzi G.,Dellien H.
Nishioka Y.,Mcdonald M.
Opelka R.,Sousa P.
Domingues J.,De Minaur A.
Davidovich Fokina A.,Fritz T.
Jaziri M.,Jarry N.
Chardy J.,Carreno Busta P.
Millman J.,Tomic B.
Cuevas P.,Caruso S.
Sousa J.,Popyrin A.
Mayer L.,Lajovic D.
Tiafoe F.,Kukushkin M.
Domingues J.,Millman J.
Monfils G.,Opelka R.
Tsitsipas S.,Andreozzi G.
Davidovich Fokina A.,Chardy J.
Cuevas P.,Baldi F.
Goffin D.,Sousa J.
Jaziri M.,Mayer L.
Tiafoe F.,Nishioka Y.
Tsitsipas S.,Domingues J.
Goffin D.,Jaziri M.
Davidovich Fokina A.,Monfils G.
Cuevas P.,Tiafoe F.
Tsitsipas S.,Goffin D.
Cuevas P.,Davidovich Fokina A.
Tsitsipas S.,Cuevas P.
Daniel T.,Humbert U.
Fucsovics M.,Sonego L.
Londero J.I.,Marterer M.
Schwartzman D.,Paire B.
Klizan M.,Gulbis E.
Garin C.,Maden Y.
Monteiro T.,Struff J.L.
Kohlschreiber P.,Seppi A.
Pella G.,Zverev M.
Berrettini M.,Istomin D.
Molleker R.,Copil M.
Kudla D.,Edmund K.
Garin C.,Schwartzman D.
Zverev A.,Londero J.I.
Cecchinato M.,Klizan M.
Fucsovics M.,Monteiro T.
Pella G.,Daniel T.
Bautista Agut R.,Molleker R.
Kohlschreiber P.,Khachanov K.
Berrettini M.,Kudla D.
Cecchinato M.,Fucsovics M.
Garin C.,Zverev A.
Berrettini M.,Kohlschreiber P.
Bautista Agut R.,Pella G.
Garin C.,Cecchinato M.
Berrettini M.,Bautista Agut R.
Garin C.,Berrettini M.
Struff J.L.,Kyrgios N.
Auger-Aliassime F.,Shapovalov D.
Opelka R.,Carreno Busta P.
Khachanov K.,Munar J.
Djere L.,Lajovic D.
Tiafoe F.,Basilashvili N.
Kohlschreiber P.,Kukushkin M.
Cilic M.,Klizan M.
Fritz T.,Dimitrov G.
Monfils G.,Seppi A.
Gasquet R.,Davidovich Fokina A.
Verdasco F.,Albot R.
Hurkacz H.,De Minaur A.
Fucsovics M.,Goffin D.
Pella G.,Medvedev D.
Wawrinka S.,Herbert P.H.
Mannarino A.,Sousa J.
Schwartzman D.,Cecchinato M.
Fognini F.,Edmund K.
Dellien H.,Simon G.
Chardy J.,Ramos-Vinolas A.
Ferrer D.,Bautista Agut R.
Millman J.,Johnson S.
Pouille L.,Coric B.
Djokovic N.,Fritz T.
Cilic M.,Struff J.L.
Federer R.,Gasquet R.
Thiem D.,Opelka R.
Nishikori K.,Dellien H.
Tiafoe F.,Kohlschreiber P.
Chardy J.,Schwartzman D.
Wawrinka S.,Pella G.
Monfils G.,Fucsovics M.
Djere L.,Del Potro J.M.
Nadal R.,Auger-Aliassime F.
Fognini F.,Millman J.
Tsitsipas S.,Mannarino A.
Hurkacz H.,Pouille L.
Verdasco F.,Khachanov K.
Zverev A.,Ferrer D.
Cilic M.,Djere L.
Djokovic N.,Chardy J.
Thiem D.,Fognini F.
Federer R.,Monfils G.
Wawrinka S.,Nishikori K.
Tsitsipas S.,Verdasco F.
Zverev A.,Hurkacz H.
Nadal R.,Tiafoe F.
Djokovic N.,Cilic M.
Thiem D.,Federer R.
Tsitsipas S.,Zverev A.
Nadal R.,Wawrinka S.
Djokovic N.,Thiem D.
Tsitsipas S.,Nadal R.
Djokovic N.,Tsitsipas S.
Basilashvili N.,Fucsovics M.
Kohlschreiber P.,Simon G.
Berrettini M.,Pouille L.
Sinner J.,Johnson S.
Bautista Agut R.,Seppi A.
Coric B.,Auger-Aliassime F.
Djere L.,Kukushkin M.
Verdasco F.,Edmund K.
Khachanov K.,Sonego L.
Ruud C.,Evans D.
Shapovalov D.,Carreno Busta P.
Cecchinato M.,De Minaur A.
Ramos-Vinolas A.,Monfils G.
Norrie C.,Millman J.
Fognini F.,Tsonga J.W.
Albot R.,Paire B.
Fritz T.,Pella G.
Goffin D.,Wawrinka S.
Chardy J.,Gasquet R.
Schwartzman D.,Nishioka Y.
Kyrgios N.,Medvedev D.
Sousa J.,Tiafoe F.
Cilic M.,Basso A.
Struff J.L.,Dimitrov G.
Khachanov K.,Bautista Agut R.
Berrettini M.,Zverev A.
Basilashvili N.,Djere L.
Coric B.,Norrie C.
Schwartzman D.,Ramos-Vinolas A.
Verdasco F.,Thiem D.
Nishikori K.,Fritz T.
Federer R.,Sousa J.
Struff J.L.,Cilic M.
Nadal R.,Chardy J.
Del Potro J.M.,Goffin D.
Ruud C.,Kyrgios N.
Tsitsipas S.,Sinner J.
Djokovic N.,Shapovalov D.
Kohlschreiber P.,Cecchinato M.
Fognini F.,Albot R.
Schwartzman D.,Berrettini M.
Verdasco F.,Khachanov K.
Federer R.,Coric B.
Nishikori K.,Struff J.L.
Del Potro J.M.,Ruud C.
Nadal R.,Basilashvili N.
Djokovic N.,Kohlschreiber P.
Tsitsipas S.,Fognini F.
Schwartzman D.,Nishikori K.
Nadal R.,Verdasco F.
Tsitsipas S.,Federer R.
Djokovic N.,Del Potro J.M.
Nadal R.,Tsitsipas S.
Djokovic N.,Schwartzman D.
Nadal R.,Djokovic N.
Gulbis E.,Nishioka Y.
Londero J.I.,Zverev M.
Kudla D.,Thompson J.
Daniel T.,Zapata Miralles B.
Dellien H.,Seppi A.
Jarry N.,Ebden M.
Albot R.,Sonego L.
Tipsarevic J.,Gojowczyk P.
Ramos-Vinolas A.,Mannarino A.
Sousa J.,Mayer L.
Delbonis F.,Dimitrov G.
Dzumhur D.,Lopez F.
Zverev A.,Gulbis E.
Dellien H.,Tipsarevic J.
Albot R.,Londero J.I.
Delbonis F.,Fucsovics M.
Daniel T.,Garin C.
Jarry N.,Kudla D.
Ramos-Vinolas A.,Sousa J.
Dzumhur D.,Wawrinka S.
Jarry N.,Daniel T.
Albot R.,Dzumhur D.
Zverev A.,Dellien H.
Delbonis F.,Ramos-Vinolas A.
Jarry N.,Albot R.
Zverev A.,Delbonis F.
Zverev A.,Jarry N.
Millman J.,Andujar P.
Tsonga J.W.,Lajovic D.
Humbert U.,Norrie C.
Johnson S.,Harris L.
Herbert P.H.,Chardy J.
Lamasine T.,Sinner J.
Diez S.,Tomic B.
Fritz T.,Vesely J.
Gasquet R.,Janvier M.
Moutet C.,Opelka R.
Cuevas P.,Hurkacz H.
Paire B.,Mcdonald M.
Johnson S.,Herbert P.H.
Auger-Aliassime F.,Millman J.
Paire B.,Cuevas P.
Shapovalov D.,Humbert U.
Fritz T.,Gasquet R.
Bautista Agut R.,Moutet C.
Tsonga J.W.,Diez S.
Basilashvili N.,Lamasine T.
Fritz T.,Bautista Agut R.
Paire B.,Shapovalov D.
Basilashvili N.,Tsonga J.W.
Auger-Aliassime F.,Johnson S.
Paire B.,Fritz T.
Auger-Aliassime F.,Basilashvili N.
Paire B.,Auger-Aliassime F.
Cilic M.,Fabbiano T.
Popyrin A.,Humbert U.
Ruud C.,Gulbis E.
Berrettini M.,Andujar P.
Dimitrov G.,Tipsarevic J.
Tsitsipas S.,Marterer M.
Otte O.,Jaziri M.
Nishikori K.,Halys Q.
Mahut N.,Cecchinato M.
Federer R.,Sonego L.
Dellien H.,Gunneswaran P.
Schwartzman D.,Fucsovics M.
Djere L.,Ramos-Vinolas A.
Kohlschreiber P.,Haase R.
Mayer L.,Vesely J.
Goffin D.,Berankis R.
Londero J.I.,Basilashvili N.
Kecmanovic M.,Kudla D.
Carreno Busta P.,Sousa J.
De Minaur A.,Klahn B.
Herbert P.H.,Medvedev D.
Krajinovic F.,Tiafoe F.
Moutet C.,Vatutin A.
Maden Y.,Coppejans K.
Garin C.,Opelka R.
Gasquet R.,Zverev M.
Carballes Baena R.,Muller A.
Nadal R.,Hanfmann Y.
Coric B.,Bedene A.
Pella G.,Andreozzi G.
Laaksonen H.,Martinez P.
Wawrinka S.,Kovalik J.
Simon G.,Stakhovsky S.
Tsonga J.W.,Gojowczyk P.
Caruso S.,Munar J.
Djokovic N.,Hurkacz H.
Harris L.,Rosol L.
Paire B.,Copil M.
Albot R.,Sandgren T.
Bublik A.,Molleker R.
Cuevas P.,Janvier M.
Struff J.L.,Shapovalov D.
Thiem D.,Paul T.
Fognini F.,Seppi A.
Fritz T.,Tomic B.
Delbonis F.,Garcia-Lopez G.
Del Potro J.M.,Jarry N.
Zverev A.,Millman J.
Nishioka Y.,Mcdonald M.
Benchetrit E.,Norrie C.
Ymer M.,Rola B.
Lajovic D.,Monteiro T.
Edmund K.,Chardy J.
Karlovic I.,Lopez F.
Bautista Agut R.,Johnson S.
Thompson J.,Davidovich Fokina A.
Klizan M.,Kukushkin M.
Khachanov K.,Stebe C.M.
Pouille L.,Bolelli S.
Verdasco F.,Evans D.
Barrere G.,Ebden M.
Hoang A.,Dzumhur D.
Mannarino A.,Travaglia S.
Monfils G.,Daniel T.
Tsitsipas S.,Dellien H.
Moutet C.,Pella G.
Nadal R.,Maden Y.
Goffin D.,Kecmanovic M.
Nishikori K.,Tsonga J.W.
Londero J.I.,Gasquet R.
Djere L.,Popyrin A.
Krajinovic F.,Carballes Baena R.
Mahut N.,Kohlschreiber P.
Ruud C.,Berrettini M.
Dimitrov G.,Cilic M.
Wawrinka S.,Garin C.
Federer R.,Otte O.
Paire B.,Herbert P.H.
Carreno Busta P.,De Minaur A.
Cuevas P.,Edmund K.
Thiem D.,Bublik A.
Caruso S.,Simon G.
Mayer L.,Schwartzman D.
Zverev A.,Ymer M.
Djokovic N.,Laaksonen H.
Hoang A.,Verdasco F.
Lajovic D.,Benchetrit E.
Struff J.L.,Albot R.
Thompson J.,Karlovic I.
Del Potro J.M.,Nishioka Y.
Monfils G.,Mannarino A.
Coric B.,Harris L.
Bautista Agut R.,Fritz T.
Khachanov K.,Barrere G.
Fognini F.,Delbonis F.
Klizan M.,Pouille L.
Nishikori K.,Djere L.
Paire B.,Carreno Busta P.
Federer R.,Ruud C.
Mayer L.,Mahut N.
Londero J.I.,Moutet C.
Nadal R.,Goffin D.
Fognini F.,Bautista Agut R.
Zverev A.,Lajovic D.
Tsitsipas S.,Krajinovic F.
Struff J.L.,Coric B.
Wawrinka S.,Dimitrov G.
Djokovic N.,Caruso S.
Thiem D.,Cuevas P.
Monfils G.,Hoang A.
Del Potro J.M.,Thompson J.
Khachanov K.,Klizan M.
Federer R.,Mayer L.
Wawrinka S.,Tsitsipas S.
Nadal R.,Londero J.I.
Nishikori K.,Paire B.
Djokovic N.,Struff J.L.
Thiem D.,Monfils G.
Zverev A.,Fognini F.
Khachanov K.,Del Potro J.M.
Federer R.,Wawrinka S.
Nadal R.,Nishikori K.
Djokovic N.,Zverev A.
Thiem D.,Khachanov K.
Nadal R.,Federer R.
Thiem D.,Djokovic N.
Nadal R.,Thiem D.
Fritz T.,Rodionov J.
Garin C.,Caruso S.
Thompson J.,Paul T.
Haase R.,Humbert U.
Tiafoe F.,Sousa J.
Gasquet R.,Bedene A.
Jarry N.,Sinner J.
Seppi A.,Fabbiano T.
Goffin D.,Davidovich Fokina A.
Mannarino A.,De Bakker T.
Herbert P.H.,Ebden M.
Kukushkin M.,Sonego L.
Thompson J.,Tiafoe F.
Coric B.,Fritz T.
De Minaur A.,Seppi A.
Goffin D.,Herbert P.H.
Garin C.,Haase R.
Jarry N.,Tsitsipas S.
Mannarino A.,Verdasco F.
Gasquet R.,Kukushkin M.
Coric B.,Garin C.
Mannarino A.,Goffin D.
Thompson J.,De Minaur A.
Gasquet R.,Jarry N.
Thompson J.,Gasquet R.
Mannarino A.,Coric B.
Mannarino A.,Thompson J.
Tsonga J.W.,Zverev M.
Kecmanovic M.,Kohlschreiber P.
Fucsovics M.,Munar J.
Struff J.L.,Shapovalov D.
Raonic M.,Popyrin A.
Auger-Aliassime F.,Gulbis E.
Brown D.,Millman J.
Pouille L.,Lopez F.
Kudla D.,Galovic V.
Berrettini M.,Kyrgios N.
Simon G.,Gojowczyk P.
Monfils G.,Johnson S.
Fucsovics M.,Basilashvili N.
Raonic M.,Tsonga J.W.
Struff J.L.,Kecmanovic M.
Pouille L.,Medvedev D.
Kudla D.,Monfils G.
Berrettini M.,Khachanov K.
Brown D.,Zverev A.
Auger-Aliassime F.,Simon G.
Berrettini M.,Kudla D.
Struff J.L.,Pouille L.
Auger-Aliassime F.,Brown D.
Raonic M.,Fucsovics M.
Berrettini M.,Struff J.L.
Auger-Aliassime F.,Raonic M.
Berrettini M.,Auger-Aliassime F.
Albot R.,Ebden M.
Johnson S.,Kohlschreiber P.
Herbert P.H.,Monfils G.
Sousa J.,Hurkacz H.
Khachanov K.,Kecmanovic M.
Zverev A.,Haase R.
Gasquet R.,Gojowczyk P.
Goffin D.,Pella G.
Struff J.L.,Djere L.
Bautista Agut R.,Fritz T.
Coric B.,Munar J.
Stakhovsky S.,Molleker R.
Seppi A.,Moraing M.
Tsonga J.W.,Paire B.
Berrettini M.,Basilashvili N.
Federer R.,Millman J.
Goffin D.,Albot R.
Khachanov K.,Struff J.L.
Herbert P.H.,Stakhovsky S.
Coric B.,Sousa J.
Berrettini M.,Seppi A.
Bautista Agut R.,Gasquet R.
Zverev A.,Johnson S.
Federer R.,Tsonga J.W.
Berrettini M.,Khachanov K.
Goffin D.,Zverev A.
Herbert P.H.,Coric B.
Federer R.,Bautista Agut R.
Goffin D.,Berrettini M.
Federer R.,Herbert P.H.
Federer R.,Goffin D.
Medvedev D.,Verdasco F.
Schwartzman D.,Bublik A.
Cilic M.,Garin C.
Mahut N.,Tiafoe F.
Anderson K.,Norrie C.
Simon G.,Ward J.
Chardy J.,Kukushkin M.
Del Potro J.M.,Shapovalov D.
Lopez F.,Fucsovics M.
Bedene A.,De Minaur A.
Wawrinka S.,Evans D.
Pouille L.,Clarke J.
Raonic M.,Cecchinato M.
Tsitsipas S.,Edmund K.
Kyrgios N.,Carballes Baena R.
Auger-Aliassime F.,Dimitrov G.
Lopez F.,Del Potro J.M.
Schwartzman D.,Cilic M.
Simon G.,Anderson K.
Mahut N.,Wawrinka S.
Medvedev D.,Pouille L.
Raonic M.,Bedene A.
Tsitsipas S.,Chardy J.
Auger-Aliassime F.,Kyrgios N.
Medvedev D.,Schwartzman D.
Simon G.,Mahut N.
Auger-Aliassime F.,Tsitsipas S.
Lopez F.,Raonic M.
Simon G.,Medvedev D.
Lopez F.,Auger-Aliassime F.
Lopez F.,Simon G.
Kecmanovic M.,Munar J.
Sonego L.,Sousa J.
Dzumhur D.,Ebden M.
Gunneswaran P.,Tipsarevic J.
Klahn B.,Darcis S.
Carballes Baena R.,Aragone JC
Humbert U.,Delbonis F.
Celikbilek A.,Gulbis E.
Troicki V.,Kovalik J.
Tomic B.,Seppi A.
Gojowczyk P.,Kirkin E.
Krawietz K.,Ilkel C.
Thompson J.,Klahn B.
Dzumhur D.,Celikbilek A.
Sonego L.,Gunneswaran P.
Mannarino A.,Carballes Baena R.
Troicki V.,Paire B.
Kecmanovic M.,Humbert U.
Tomic B.,Gojowczyk P.
Carreno Busta P.,Krawietz K.
Kecmanovic M.,Troicki V.
Thompson J.,Dzumhur D.
Sonego L.,Mannarino A.
Carreno Busta P.,Tomic B.
Kecmanovic M.,Thompson J.
Sonego L.,Carreno Busta P.
Sonego L.,Kecmanovic M.
Hurkacz H.,Cecchinato M.
Verdasco F.,Millman J.
Querrey S.,Kukushkin M.
Johnson S.,Opelka R.
Fritz T.,Jubb P.
Londero J.I.,Clarke J.
Evans D.,Albot R.
Jarry N.,Cuevas P.
Norrie C.,Chardy J.
Fabbiano T.,Ward J.
Herbert P.H.,Kudla D.
Simon G.,Sandgren T.
Fritz T.,Pella G.
Hurkacz H.,Johnson S.
Verdasco F.,Londero J.I.
Querrey S.,Lajovic D.
Fabbiano T.,Djere L.
Evans D.,Herbert P.H.
Simon G.,Jarry N.
Edmund K.,Norrie C.
Querrey S.,Verdasco F.
Fabbiano T.,Simon G.
Fritz T.,Hurkacz H.
Edmund K.,Evans D.
Querrey S.,Fabbiano T.
Fritz T.,Edmund K.
Fritz T.,Querrey S.
Tipsarevic J.,Nishioka Y.
Anderson K.,Herbert P.H.
Lopez F.,Giron M.
Bautista Agut R.,Gojowczyk P.
Opelka R.,Stebe C.M.
Wawrinka S.,Bemelmans R.
Mayer L.,Gulbis E.
Khachanov K.,Kwon S.W.
Darcis S.,Zverev M.
Kudla D.,Jaziri M.
Seppi A.,Jarry N.
Auger-Aliassime F.,Pospisil V.
Djokovic N.,Kohlschreiber P.
Haase R.,Kovalik J.
Fabbiano T.,Tsitsipas S.
Pella G.,Copil M.
Cuevas P.,Dzumhur D.
Karlovic I.,Arnaboldi A.
Popyrin A.,Carreno Busta P.
Vesely J.,Zverev A.
Hurkacz H.,Lajovic D.
Verdasco F.,Majchrzak K.
Medvedev D.,Lorenzi P.
Paire B.,Londero J.I.
Humbert U.,Monfils G.
Chardy J.,Klizan M.
Raonic M.,Gunneswaran P.
Moutet C.,Dimitrov G.
Edmund K.,Munar J.
Granollers M.,Sonego L.
Goffin D.,Klahn B.
Kecmanovic M.,Carballes Baena R.
De Minaur A.,Cecchinato M.
Evans D.,Delbonis F.
Nishikori K.,Monteiro T.
Basilashvili N.,Ward J.
Johnson S.,Ramos-Vinolas A.
Kyrgios N.,Thompson J.
Baghdatis M.,Schnur B.
Berrettini M.,Bedene A.
Querrey S.,Thiem D.
Simon G.,Caruso S.
Norrie C.,Istomin D.
Rublev A.,Garin C.
Koepfer D.,Krajinovic F.
Clarke J.,Rubin N.
Federer R.,Harris L.
Sandgren T.,Uchiyama Y.
Tsonga J.W.,Tomic B.
Struff J.L.,Albot R.
Fritz T.,Berdych T.
Schwartzman D.,Ebden M.
Berankis R.,Shapovalov D.
Nadal R.,Sugita Y.
Millman J.,Dellien H.
Fognini F.,Tiafoe F.
Kukushkin M.,Andujar P.
Barrere G.,Bublik A.
Djere L.,Andreozzi G.
Cilic M.,Mannarino A.
Fucsovics M.,Novak D.
Isner J.,Ruud C.
Sousa J.,Jubb P.
Pouille L.,Gasquet R.
Vesely J.,Cuevas P.
Paire B.,Kecmanovic M.
Opelka R.,Wawrinka S.
Fabbiano T.,Karlovic I.
Medvedev D.,Popyrin A.
Goffin D.,Chardy J.
Hurkacz H.,Mayer L.
Raonic M.,Haase R.
Bautista Agut R.,Darcis S.
Verdasco F.,Edmund K.
Khachanov K.,Lopez F.
Pella G.,Seppi A.
Humbert U.,Granollers M.
Auger-Aliassime F.,Moutet C.
Anderson K.,Tipsarevic J.
Djokovic N.,Kudla D.
Johnson S.,De Minaur A.
Millman J.,Djere L.
Querrey S.,Rublev A.
Struff J.L.,Fritz T.
Evans D.,Basilashvili N.
Kukushkin M.,Isner J.
Nishikori K.,Norrie C.
Sousa J.,Cilic M.
Tsonga J.W.,Berankis R.
Federer R.,Clarke J.
Pouille L.,Barrere G.
Sandgren T.,Simon G.
Fognini F.,Fucsovics M.
Nadal R.,Kyrgios N.
Berrettini M.,Baghdatis M.
Schwartzman D.,Koepfer D.
Raonic M.,Opelka R.
Paire B.,Vesely J.
Bautista Agut R.,Khachanov K.
Pella G.,Anderson K.
Goffin D.,Medvedev D.
Djokovic N.,Hurkacz H.
Verdasco F.,Fabbiano T.
Humbert U.,Auger-Aliassime F.
Nishikori K.,Johnson S.
Querrey S.,Millman J.
Sandgren T.,Fognini F.
Kukushkin M.,Struff J.L.
Berrettini M.,Schwartzman D.
Nadal R.,Tsonga J.W.
Federer R.,Pouille L.
Sousa J.,Evans D.
Goffin D.,Verdasco F.
Nadal R.,Sousa J.
Bautista Agut R.,Paire B.
Querrey S.,Sandgren T.
Djokovic N.,Humbert U.
Pella G.,Raonic M.
Nishikori K.,Kukushkin M.
Federer R.,Berrettini M.
Djokovic N.,Goffin D.
Bautista Agut R.,Pella G.
Federer R.,Nishikori K.
Nadal R.,Querrey S.
Djokovic N.,Bautista Agut R.
Federer R.,Nadal R.
Djokovic N.,Federer R.
Carballes Baena R.,Munar J.
Ymer M.,Davidovich Fokina A.
Ramos-Vinolas A.,Lestienne C.
Jarry N.,Laaksonen H.
Novak D.,Darcis S.
Chardy J.,Carreno Busta P.
Londero J.I.,Arguello F.
Dzumhur D.,Ruud C.
Ymer E.,Monteiro T.
Dellien H.,Gulbis E.
Delbonis F.,Zapata Miralles B.
Sousa J.,Kovalik J.
Chardy J.,Garin C.
Jarry N.,Ymer M.
Ramos-Vinolas A.,Verdasco F.
Carballes Baena R.,Dzumhur D.
Delbonis F.,Cuevas P.
Sousa J.,Ymer E.
Gasquet R.,Novak D.
Londero J.I.,Dellien H.
Jarry N.,Chardy J.
Delbonis F.,Sousa J.
Londero J.I.,Gasquet R.
Ramos-Vinolas A.,Carballes Baena R.
Jarry N.,Delbonis F.
Londero J.I.,Ramos-Vinolas A.
Jarry N.,Londero J.I.
Ivashka I.,Tomic B.
Granollers M.,Gunneswaran P.
Andreozzi G.,Karlovic I.
Majchrzak K.,Gray A.
Sandgren T.,Istomin D.
Bublik A.,Bolt A.
Ebden M.,Schnur B.
Kudla D.,Klahn B.
Ramanathan R.,Stakhovsky S.
Troicki V.,Jung J.
Eubanks C.,Johnson S.
Zverev M.,Smyczek T.
Bublik A.,Troicki V.
Ebden M.,Kudla D.
Granollers M.,Thompson J.
Ivashka I.,Eubanks C.
Sandgren T.,Mannarino A.
Zverev M.,Andreozzi G.
Isner J.,Majchrzak K.
Humbert U.,Ramanathan R.
Granollers M.,Zverev M.
Humbert U.,Ivashka I.
Bublik A.,Sandgren T.
Isner J.,Ebden M.
Bublik A.,Granollers M.
Isner J.,Humbert U.
Isner J.,Bublik A.
Vesely J.,Stebe C.M.
Bedene A.,Cecchinato M.
Sinner J.,Sousa P.
Bagnis F.,Klizan M.
Lorenzi P.,Torebko P.
Travaglia S.,Fabbiano T.
Serdarusic N.,Trungelliti M.
Balazs A.,Galovic V.
Rublev A.,Haase R.
Mayer L.,Andujar P.
Krajinovic F.,Daniel T.
Caruso S.,Moutet C.
Balazs A.,Krajinovic F.
Mayer L.,Vesely J.
Travaglia S.,Fognini F.
Djere L.,Lorenzi P.
Bagnis F.,Serdarusic N.
Lajovic D.,Rublev A.
Caruso S.,Coric B.
Bedene A.,Sinner J.
Djere L.,Mayer L.
Balazs A.,Travaglia S.
Lajovic D.,Bedene A.
Caruso S.,Bagnis F.
Balazs A.,Djere L.
Lajovic D.,Caruso S.
Lajovic D.,Balazs A.
Popyrin A.,Kudla D.
Norrie C.,Thompson J.
Klahn B.,Copil M.
Ebden M.,Majchrzak K.
Kwon S.W.,Gunneswaran P.
Opelka R.,Bublik A.
Evans D.,Jung J.
Tomic B.,Tiafoe F.
Albot R.,Sandgren T.
Humbert U.,Gromley C.
Kecmanovic M.,Sock J.
King K.,Dimitrov G.
Popyrin A.,Herbert P.H.
Norrie C.,Kwon S.W.
Evans D.,Albot R.
Opelka R.,Isner J.
Tomic B.,Ebden M.
De Minaur A.,Klahn B.
Fritz T.,King K.
Kecmanovic M.,Humbert U.
De Minaur A.,Tomic B.
Opelka R.,Evans D.
Norrie C.,Popyrin A.
Fritz T.,Kecmanovic M.
De Minaur A.,Opelka R.
Fritz T.,Norrie C.
De Minaur A.,Fritz T.
Stebe C.M.,Moutet C.
Vesely J.,Gulbis E.
Carballes Baena R.,Lorenzi P.
Andujar P.,Novak D.
Fabbiano T.,Ehrat S.
Travaglia S.,Galan D.E.
Munar J.,Jaziri M.
Moroni G.,Robredo T.
Sousa J.,Darcis S.
Daniel T.,Baldi F.
Ramos-Vinolas A.,Laaksonen H.
Istomin D.,Huesler M.A.
Carballes Baena R.,Travaglia S.
Stebe C.M.,Vesely J.
Fabbiano T.,Sonego L.
Ramos-Vinolas A.,Verdasco F.
Andujar P.,Daniel T.
Lajovic D.,Istomin D.
Sousa J.,Moroni G.
Bautista Agut R.,Munar J.
Ramos-Vinolas A.,Carballes Baena R.
Andujar P.,Lajovic D.
Sousa J.,Bautista Agut R.
Stebe C.M.,Fabbiano T.
Ramos-Vinolas A.,Andujar P.
Stebe C.M.,Sousa J.
Ramos-Vinolas A.,Stebe C.M.
Klizan M.,Altmaier D.
Fucsovics M.,Kohlschreiber P.
Chardy J.,Paire B.
Rublev A.,Garin C.
Molleker R.,Mayer L.
Basilashvili N.,Dellien H.
Struff J.L.,Monteiro T.
Ruud C.,Haase R.
Gasquet R.,Nagal S.
Thiem D.,Cuevas P.
Londero J.I.,Davidovich Fokina A.
Carreno Busta P.,Hanfmann Y.
Zverev A.,Jarry N.
Krajinovic F.,Djere L.
Delbonis F.,Cecchinato M.
Fognini F.,Lenz J.
Rublev A.,Ruud C.
Chardy J.,Gasquet R.
Thiem D.,Fucsovics M.
Basilashvili N.,Londero J.I.
Krajinovic F.,Klizan M.
Carreno Busta P.,Struff J.L.
Zverev A.,Delbonis F.
