Player Name,Instagram Ranking,#Instagram Followers,WTA Ranking,Country,Link to Profile
Vera Lapko,80,"5,395",60,Belarus,https://www.instagram.com/veralapko/
Viktoria Kuzmova,81,"5,030",46,SLOVAKIA,https://www.instagram.com/vikikuzmova/
Kaia Kanepi,82,"4,895",85,Estonia,https://www.instagram.com/kaiakanepi/
Jessica Pegula,83,"4,736",93,United States,https://www.instagram.com/jpegula/
Sara Sorribes Tormo,84,"4,607",78,Spain,https://www.instagram.com/sarasorribes/
Shuai Zhang,85,"4,548",40,China,https://www.instagram.com/zhangshuai121
Alison Van Uytvanck,86,"3,911",50,Belgium,https://www.instagram.com/alison_van_uytvanck
Rebecca Peterson,87,"3,106",54,Sweden,https://www.instagram.com/rebeccapeterson/
Mona Barthel,88,"2,726",81,Germany,https://www.instagram.com/monabarthel7/
Saisai Zheng,89,"2,583",42,CHINA,https://www.instagram.com/zheng_saisai/
Dalila Jakupovic,90,"2,384",86,Slovenia,https://www.instagram.com/dalilajakupovic/
Tatjana Maria,91,"2,337",67,Germany,https://www.instagram.com/tatjanamaria87/
Tamara Zidansek,92,"1,585",63,Slovenia,https://www.instagram.com/tamarazidansek997
Anna Blinkova,93,"1,150",95,Russia,https://www.instagram.com/anna__blinkova
Su-Wei Hsieh,94,595,31,CHINESE TAIPEI,https://www.instagram.com/hsieh.suwei/
Stefanie Voegele,95,462,84,Switzerland,https://www.instagram.com/stefanievoegele/
Luksika Kumkhum,96,392,79,Thailand,https://www.instagram.com/luksikakumkhum_official/
Ekaterina Alexandrova,97,261,65,Russia,https://www.instagram.com/ekatalexandrova/
