nome,mao_dominante,data_de_nascimento,local,altura
Prodon E.,R,19810627,FRA,178
Starace P.,R,19810714,ITA,188
Hanescu V.,R,19810721,ROU,198
Nieminen J.,L,19810723,FIN,185
Federer R.,R,19810808,SUI,185
Udomchoke D.,R,19810811,THA,173
Gremelmayr D.,L,19810816,GER,183
Volandri F.,R,19810905,ITA,183
Chiudinelli M.,R,19810910,SUI,185
Decoud S.,L,19810918,ARG,178
Niland C.,R,19810919,IRL,185
Lopez F.,L,19810920,ESP,188
Kunitsyn I.,R,19810930,RUS,180
Elgin M.,R,19811014,RUS,183
Fish M.,R,19811209,USA,188
Lorenzi P.,R,19811215,ITA,183
Benneteau J.,R,19811220,FRA,185
Nalbandian D.,R,19820101,ARG,180
Mertl J.,R,19820103,CZE,190
Mathieu P.,R,19820112,FRA,185
Awadhy O.,R,19820116,UAE,180
Mahut N.,R,19820121,FRA,190
Moraru G.,R,19820128,ROU,180
la D.,L,19820129,ESP,180
Nava D.,L,19820129,ESP,180
Lammer M.,R,19820325,SUI,185
Borvanov R.,R,19820331,MDA,183
Ferrer D.,R,19820402,ESP,175
Beck K.,R,19820403,SVK,180
Brzezicki J.,R,19820412,ARG,178
Robredo T.,R,19820501,ESP,180
Kubot L.,R,19820516,POL,190
Alves T.,R,19820522,BRA,178
Crivoi V.,R,19820525,ROU,185
Prpic F.,R,19820526,SWE,173
Ghem A.,R,19820529,BRA,193
Kindlmann D.,R,19820603,GER,183
Vliegen K.,R,19820622,BEL,193
Youzhny M.,R,19820625,RUS,183
Renavand N.,R,19820625,FRA,180
Delic A.,R,19820630,BIH,196
Johansson J.,R,19820701,SWE,198
Reynolds B.,R,19820717,USA,183
Lopez M.,R,19820731,ESP,175
Roddick A.,R,19820830,USA,188
Ginepri R.,R,19821007,USA,183
Witten J.,R,19821015,USA,178
Klaasen R.,R,19821016,RSA,180
Acasuso J.,R,19821020,ARG,190
Guez D.,R,19821208,FRA,185
Tursunov D.,R,19821212,RUS,185
Walter L.,U,19830104,FRA,180
Balleret B.,R,19830115,MON,185
Salamanca C.,L,19830115,COL,196
Lapentti G.,R,19830125,ECU,193
Berlocq C.,R,19830203,ARG,183
Novak D.,L,19830222,CZE,180
Gonzalez S.,R,19830224,MEX,190
Capdeville P.,R,19830402,CHI,190
Bogomolov A.,R,19830423,RUS,178
Bloomfield R.,R,19830427,GBR,185
Crugnola M.,R,19830524,ITA,188
Vagnozzi S.,R,19830530,ITA,173
Andreev I.,R,19830714,RUS,185
Gonzalez M.,R,19830720,ARG,175
Stadler S.,L,19830720,GER,183
Bohli S.,R,19830725,SUI,185
Hajek J.,R,19830807,CZE,180
Knittel B.,L,19830808,GER,180
Gensse A.,R,19830810,FRA,180
Lu Y.,R,19830814,TPE,180
Koellerer D.,R,19830817,AUT,180
Nielsen F.,R,19830827,DEN,190
Amritraj P.,R,19831002,IND,188
Mayer F.,R,19831005,GER,190
Aranguren J.,R,19831007,ARG,180
Reix C.,U,19831009,FRA,180
Kohlschreiber P.,R,19831016,GER,178
Cipolla F.,R,19831020,ITA,173
Viola M.,R,19831028,ITA,180
Falla A.,L,19831114,COL,185
Verdasco F.,L,19831115,ESP,188
Vasselin E.,R,19831128,FRA,188
Topic J.,U,19831208,CRO,180
Deheart R.,L,19840103,USA,183
Jaziri M.,R,19840120,TUN,185
Merwe I.,R,19840126,RSA,196
Silva R.,R,19840203,BRA,178
Przysiezny M.,R,19840216,POL,185
Seppi A.,R,19840221,ITA,190
Dabul B.,L,19840224,ARG,170
Darcis S.,R,19840313,BEL,178
Ram R.,R,19840318,USA,193
Petzschner P.,R,19840324,GER,185
Monaco J.,R,19840329,ARG,185
Ancic M.,R,19840330,CRO,196
Machado R.,R,19840410,POR,178
King D.,R,19840515,NZL,190
Turner D.,R,19840515,NZL,190
Minar I.,R,19840521,CZE,183
Bogdanovic A.,L,19840522,GBR,183
Poerschke L.,R,19840617,GER,180
Tipsarevic J.,R,19840622,SRB,180
Burquier G.,L,19840708,FRA,180
Recouderc L.,R,19840710,FRA,178
Fleming C.,R,19840813,GBR,188
Soderling R.,R,19840814,SWE,193
Soeda G.,R,19840905,JPN,178
Dancevic F.,R,19840926,CAN,185
Ryderstedt M.,L,19841112,SWE,188
Emmrich M.,L,19841217,GER,183
Ouahab L.,R,19841222,ALG,185
Simon G.,R,19841227,FRA,183
Dodig I.,R,19850102,CRO,183
Trusendi W.,U,19850103,ITA,180
Sorensen L.,R,19850107,IRL,175
Aguilar J.,R,19850108,CHI,178
Ungur A.,R,19850125,ROU,178
Wang J.,R,19850208,TPE,178
Devvarman S.,R,19850213,IND,180
Kravchuk K.,R,19850223,RUS,190
Davi A.,L,19850305,ESP,183
Gil F.,R,19850324,POR,178
Wawrinka S.,R,19850328,SUI,183
Sela D.,R,19850404,ISR,175
Garza D.,R,19850408,MEX,180
Tsonga J.,R,19850417,FRA,188
